Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Battle of the Metaxas Line	Greek-Bulgarian border	6–9 April 1941	German victory	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	'''Germany:''' One Panzer Division; Two Mountain Divisions; Three Infantry Divisions; One Independent Infantry Regiment; ; One Air Corps with 650 aircraft	{{Cref|a}}	{{flag|Kingdom of Greece|name|=|Greece}}	{{flagicon|Kingdom of Greece}}	'''Greece:''' Four Divisions and Two Brigades:65,110 officers and other ranks188 field artillery pieces 76 anti-tank guns30 anti-aircraft guns40 tankettes		https://en.wikipedia.org/wiki/Battle_of_the_Metaxas_Line
Battle of Vevi (1941)	Vevi, Greece	11–12 April 1941	German victory	{{flag|Australia}}	{{flagicon|Australia}}	eight infantry battalions; elements of one machine gun battalion and several artillery batteries	{{efn|According to the Commonwealth War Graves Commission database|ref| name="Geoff"|Commonwealth War Graves Commission site http://www.cwgc.org/, using "Geoff's search engine" tool found on http://www.hut-six.co.uk/cgi-bin/search39-47.php, accessed 16 September 2012|| there was one Australian dead from the 2/4th battalion on 11 April, plus 26 dead on 12 April belonging to the 2/4 battalion (3 dead), 2/8 battalion (12 dead), 2/1 AT regiment (10 dead) and 2/3rd Field Regiment (Australia)|2/3 Field Regiment (1 dead)}}	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	one mechanised brigade (''Waffen SS''); one armoured brigade (German Army (Wehrmacht)|German Army)	'''Nazi Germany'''; SS: 37 dead, 98 wounded, two taken prisonerref{{harvp|Golla|2007|p=230}}&lt;/ref&gt;; Army: unknown.	https://en.wikipedia.org/wiki/Battle_of_Vevi_(1941)
Battle of Kleisoura Pass	Kleisoura, Kastoria|Kleisoura, West Macedonia, Greece	13–14 April 1941	German victory	{{flagicon|Greece|royal}}	{{flagicon|Greece|royal}}		heavy; German claim: 1,000 captured	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	6,500	unknown	https://en.wikipedia.org/wiki/Battle_of_Kleisoura_Pass
Battle of Tempe Gorge	Tempe Gorge, Greece	18 April 1941	Delayed German advance	{{flag|Australia}}	Arthur Samuel Allen	~ 1 brigade	Australian: ; 80 killed or wounded, 120 captured ; New Zealand: 4 killed or wounded	{{flag|Nazi Germany}}	Ferdinand Schörner ;  Hermann Balck	~ 1&ndash;2 divisions (elements)	140 killed or wounded	https://en.wikipedia.org/wiki/Battle_of_Tempe_Gorge
Battle of Thermopylae (1941)	Thermopylae, Greece	24–25 April 1941	German victory*Successful Allied withdrawal	{{flag|New Zealand}}	{{flagicon|New Zealand}}			{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}		~100 casualties;  15 tanks destroyed	https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(1941)
Battle of Crete	Crete, Greece	20 May – 1 June 1941 (13 days)	Axis victory&lt;!-- this should go in the analysis section--&gt;ref name="Seabattles"{{Citation |first=Martin |last=Stephen |title= Sea Battles in Close Up World War 2 |volume=2 |publisher= Naval Institute Press |year=1988 |isbn=1-55750-758-9 |page=53 |quote= One way of dealing with Malta would have been an airborne invasion but Adolf Hitler|Hitler would not countenance such a thing, especially after the pyrrhic casualties of the Crete victory.}}&lt;/ref&gt;ref name="EuropeandtheMed"{{Citation |first1=Thomas |last1=Buell |first2=Thomas | last2=Greiss |title=The Second World War: Europe and the Mediterranean |publisher= Square One Publishers |year=2002 |isbn=0-7570-0160-2 |page=101 |quote= The rank and file on both sides fought tenaciously on Crete, and in the end the Germans could claim only a pyrrhic victory.}}&lt;/ref&gt;ref name="Airborneatwar"{{citation |first1= Robert |last1=Wright |first2=John | last2= Greenwood |title= Airborne forces at war |publisher=Naval Institute Press |year=2007 |isbn=1-59114-028-5 |page=9 |quote= The seizure of Crete was a strategic victory for Germany that was brought at the price of future German airborne operations. }}&lt;/ref&gt;	{{flag|United Kingdom}}	{{flagicon|New Zealand}}	'''United Kingdom''':15,000'''Greece''':11,451refhttp://www.geetha.mil.gr/media/1maxikritis/maxi-kritis-1941.pdf (Greek) page 10, retrieved on 27.5.2010: 474 officers and 10,977 soldiers]&lt;/ref&gt;'''Australia''':7,100'''New Zealand''':6,700'''Total''':40,000–61,800ref name="neoskosmos.com"http://neoskosmos.com/news/en/Battle-of-Crete-Dr-Maria-Hill-Diggers-and-Greeks Battle of Crete: Greece sacrificed much for the greater good]&lt;/ref&gt; (10,000 without fighting capacity)ref{{harvnb|Long|1953|p=210}}.&lt;/ref&gt;	4,123 deadunknown wounded17,479 captured4 cruisers sunk; 6 destroyers sunk1 aircraft carrier; 2 battleships damaged; 4 cruisers damaged; 2 destroyers damaged; 1 submarine damaged	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{Citation needed|date|=|March 2007}}	1,915 dead1,759 missing2,000 woundedrefHans-Otto M&#252;hleisen: ''Kreta 1941 &#8211; Das Unternehmen &#8222;Merkur&#8220;, 20. Mai bis 1. Juni 1941'', in: &#8222;Einzelschriften zur milit&#228;rischen Geschichte des Zweiten Weltkrieges&#8220;, Band 3. 1968, Page 102&lt;/ref&gt; 284 Luftwaffe aircraft destroyed or written off and several hundred damagedref name="shores403"1 Italian destroyer damaged1 Italian torpedo boat damaged	https://en.wikipedia.org/wiki/Battle_of_Crete
Battle of Rethymno	Rethymnon, Crete			{{flag|Australia}}				{{flagicon|Nazi Germany}}				https://en.wikipedia.org/wiki/Battle_of_Rethymno
Battle of 42nd Street	South-east of Chania, Crete	27 May 1941	Allied victory; German advance halted	{{flagu|Australia}}			52 killed or wounded	{{flagicon|Nazi Germany}}			280 killed, 3 captured	https://en.wikipedia.org/wiki/Battle_of_42nd_Street
Allied invasion of Sicily	Sicily, Italy	9 July – 17 August 1943	Allied victory	{{flag|United Kingdom}}	{{flagicon|United States|1912}}	'''Initial Strength:'''160,000 personnel14,000 vehicles600 tanks1,800 gunsrefMitcham &amp; von Stauffenberg (2007), p. 63&lt;/ref&gt;'''Peak Strength:'''467,000 personnelref name="Mitcham307"Mitcham &amp; von Stauffenberg (2007), p. 307&lt;/ref&gt;	{{flagicon|United Kingdom}}	{{flagcountry|Kingdom of Italy}}	{{flagicon|Italian Social Republic}}	252,000 Italian personnelrefLe Operazioni in Sicilia e in Calabria (Luglio-Settembre 1943), Alberto Santoni, p.400, Stato maggiore dell'Esercito, Ufficio storico, 1989&lt;/ref&gt;refIncluding Navy and Air Force personnel.&lt;/ref&gt;40,000–60,000 German personnelref name="Mitcham307"refShaw, p.119&lt;/ref&gt;260 tanks1,400 aircraftrefDickson(2001) p. 201&lt;/ref&gt;	{{flagicon|Italian Social Republic }}	https://en.wikipedia.org/wiki/Allied_invasion_of_Sicily
Operation Ladbroke	Syracuse, Sicily	9–10 July 1943	{{#tag:ref|Although the 1st Airlanding Brigade (United Kingdom)|1st Airlanding Brigade could not hold onto the bridge after it had been captured. Their removal of the demolition charges prevented its destruction when the first units from the 5th Infantry Division (United Kingdom)|British 5th Infantry Division arrived.|group |=|nb}}	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	2,075	313 killed and 174 missing or wounded	{{flagcountry|Kingdom of Italy}}	{{flagicon|Kingdom of Italy}}	unknown	unknown	https://en.wikipedia.org/wiki/Operation_Ladbroke
Operation Fustian	Primosole Bridge, Province of Catania|Catania	13–16 July 1943	Operation failed and the bridge was eventually taken by the advancing Eighth Army.	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}		{{#tag:ref|The troop casualties for the parachute brigade only, the aircrew losses are not known.|group|=|nb}}	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}		Unknown	https://en.wikipedia.org/wiki/Operation_Fustian
Battle of Troina	Troina, Sicily	July 31, 1943 – August 6, 1943	Allied victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}			{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}			https://en.wikipedia.org/wiki/Battle_of_Troina
Allied invasion of Italy	Salerno, Calabria and Taranto, Italy	3–17 September 1943	Allied victory	{{Flag|United Kingdom}}	{{Flagicon|United States|1912}}	189,000 (by 16 September)	2,009 killed7,050 wounded3,501 missing	{{Flagcountry|Nazi Germany}}	{{Flagicon|Nazi Germany}}	100,000	3,500 casualtiesref name=A236Atkinson p.236&lt;/ref&gt;(incl 630 killed)ref name=A236	https://en.wikipedia.org/wiki/Allied_invasion_of_Italy
Operation Slapstick	Taranto, Italy	9 September 1943	British success	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}		''British Army''; 58 dead; 154 wounded; ''Royal Navy''; 48 dead; HMS Abdiel (M39)|HMS ''Abdiel'' sunk	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}		None during initial landing	https://en.wikipedia.org/wiki/Operation_Slapstick
Dodecanese campaign	Dodecanese Islands, Aegean Sea	8 September – 22 November 1943	Nazi Germany|German victory	{{flagicon|Kingdom of Italy}}	{{flagicon|United Kingdom}}	55,000 Italiansref name=aldolevi{{cite book |last=Levi |first=Aldo |title=Avvenimenti in Egeo dopo l&#180;armistizio |publisher=Ufficio storico della Marina Militare |url=http://www.difesa.it/Primo_Piano/Documents/2013/Aprile/Resistenza%20nell%27Egeo%20-%20Mod.pdf |accessdate=13 August 2015}}&lt;/ref&gt; ;  5,300 Britishref name="aldolevi"ref name="books.google.com.pe"{{cite web|url=https://books.google.com.pe/books?id=N0nrSWUHx6sC&amp;pg=PA241&amp;lpg=PA241&amp;dq=4800+1184+germans+dodecanese&amp;source=bl&amp;ots=j0hmTSb12t&amp;sig=WZro_TyEeCzzmL606a10Vm88Grg&amp;hl=es-419&amp;sa=X&amp;ved=0CCkQ6AEwAmoVChMIjuqj6simxwIVw7geCh18-wL7#v=onepage&amp;q=4800%201184%20germans%20dodecanese&amp;f=false|title=World War II at Sea: An Encyclopedia, Volume 1  By Spencer Tucker|date= |accessdate=2015-08-13}}&lt;/ref&gt;	'''Italian''':5,350 killed & woundedref name="books.google.com.pe"; 44,391 POWsref name="aldolevi"; '''British''':4,800 casualtiesref name="books.google.com.pe"113 aircraft lost6 destroyers sunk1 cruiser crippled3 cruisers heavily damaged4 destroyers severely damaged3 submarines sunk4 submarines damaged10 minesweepers and coastal defense ships sunkref{{cite web |url=http://www.warandgamemsw.com/blog/483318-dodecanese-campaign-of-1943/ |title=Warandgamemsw.com |publisher=Warandgamemsw.com |date= |accessdate=2013-10-08 |deadurl=yes |archiveurl=https://web.archive.org/web/20140108194200/http://www.warandgamemsw.com/blog/483318-dodecanese-campaign-of-1943/ |archivedate=2014-01-08 |df= }}&lt;/ref&gt;refhttp://www.deddington.org.uk/__data/assets/pdf_file/0018/9117/TheBattleforLeros-TedJohnsonandBillMinnear.pdf&lt;/ref&gt;	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	7,500 Germansref{{cite web|url=http://www.dodecaneso.org/resistenza.htm|title=8 Settembre 1943 La Resistenza |date= |accessdate=2015-08-13}}&lt;/ref&gt;	1,184 menref name="books.google.com.pe"15 landing craft	https://en.wikipedia.org/wiki/Dodecanese_campaign
