Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Battle of Taierzhuang	Tai'erzhuang (Shandong), Pizhou (Jiangsu)	evening of 24 March¹–7 April 1938	Chinese victory	{{flagicon|Republic of China (1912-49)}}	Image:Republic of China Army Flag.svg|20px Li ZongrenImage:Republic of China Army Flag.svg|20px Pang BingxunImage:Republic of China Army Flag.svg|20px Sun LianzhongImage:Republic of China Army Flag.svg|20px Han DeqinImage:Republic of China Army Flag.svg|20px Bai ChongxiImage:Republic of China Army Flag.svg|20px Sun ZhenImage:Republic of China Army Flag.svg|20px Tang EnboImage:Republic of China Army Flag.svg|20px Wang MingzhangKilled in action|†Image:Republic of China Army Flag.svg|20px Zhang ZizhongImage:Republic of China Army Flag.svg|20px Guan Linzheng	100,000-400,000 troops in 10 Division (military)|divisionsref name="ReferenceA"Page 190, ''Mao Zedong - Selected Works Volume II''&lt;/ref&gt;	20,000ref name="Documentary"ShenZhen TV Documentary 'Solving mysteries: Against the common enemy - The War of Resistance Against Japanese Aggression' https://www.youtube.com/watch?v=jfEO6j-mmVc&amp;feature=relmfu The Tai'erzhuang Campaign&lt;/ref&gt;	{{flagicon|Empire of Japan}}	Image:War flag of the Imperial Japanese Army.svg|20px|border Rensuke Isogai (10th Division)Image:War flag of the Imperial Japanese Army.svg|20px|border Itagaki Seishiro (5th Division)	40,000-70,000 troops in 3 divisionsref name="ReferenceA"ref name="Program"80+ tanks11+ armored cars8+ armored fighting vehiclesUnknown number of planesref name="Program"	'''Japanese claim''': 11,198 casualtiesref name="Program" , '''Chinese estimate''': 24,000 killedref name="Program"   30 tanks destroyedref name="Documentary"ref name="Common Knowledge"&#20013;&#22269;&#21382;&#21490;&#24120;&#35782; Common Knowledge about Chinese History pp 185 {{ISBN|962-8746-47-2}}&lt;/ref&gt;, 719 captured, 31 artillery pieces, 11 armored cars, 8 armored fighting vehiclesrefBaike Encyclopedia Article: The victory of Tai'erzhuang http://baike.baidu.com/view/52810.htm&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Taierzhuang
Amoy Operation	Xiamen|Amoy Island	May 10–12, 1938	Japanese victory	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	5th Fleet (Imperial Japanese Navy)|IJN 5th Fleet	?	{{flag|Republic of China (1912-1949)|name|=|Republic of China}}	{{flagicon|Republic of China (1912-1949)|army}}	National Revolutionary Army|NRA 75th division, Amoy fortress command	?	https://en.wikipedia.org/wiki/Amoy_Operation
Battle of Wuhan	Wuhan and surrounding provinces (Anhui Province|Anhui, Henan Province|Henan, Jiangxi Province|Jiangxi, Hubei Province|Hubei)	11 June – 27 October 1938(4 months, 2 weeks, and 2 days)	Tactical Japanese victory, Strategic Chinese victory	{{flagicon|Republic of China (1912–1949)}}	{{flagicon|Republic of China (1912–1949)}}	≈1,000,000 (120 Division (military)|divisions)≈200 planes≈40 naval ship|ships	≈400,000ref name="Mackinnon"Stephen MacKinnon, "The Tragedy of Wuhan, 1938," Modern Asian Studies 30.4  (October 1996):  931&#8211;943.&lt;/ref&gt;	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	≈350,000≈500 planes≈120 ships	≈140,000ref name="Mackinnon" 	https://en.wikipedia.org/wiki/Battle_of_Wuhan
Battle of Wanjialing	Wanjialing region	Beginning of August – 11 October 1938	Chinese victory* Heavy losses among the Japanese 101st Division (Imperial Japanese Army)|101st and 106th Division (Imperial Japanese Army)|106th divisions	{{flagicon|Republic of China (1912–49)}}	{{flagicon|Republic of China (1912–49)|army}}	100,000	Unknown	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	92,000	30,000+ killed or captured (101st Division (Imperial Japanese Army)|101st and 106th Division (Imperial Japanese Army)|106th divisions, not including relief units (9th Division (Imperial Japanese Army)|9th and 27th Division (Imperial Japanese Army)|27th divisions)	https://en.wikipedia.org/wiki/Battle_of_Wanjialing
Canton Operation	Guangdong Province	October–December 1938	Japanese victory	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	IJA 21th Army, IJN 4th Flight group	?	{{flag|Republic of China (1912–1949)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–1949)|army}}	NRA 12th Army group	?	https://en.wikipedia.org/wiki/Canton_Operation
Hainan Island Operation	Hainan, Republic of China (1912–49)|China	February 1939	Japanese victory	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	Elements of 5th Fleet (Imperial Japanese Navy)|IJN 5th Fleet	Unknown	{{flag|Republic of China (1912–49)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–49)|army}}	25,000	Unknown	https://en.wikipedia.org/wiki/Hainan_Island_Operation
Battle of Nanchang	Nanchang and proximity	17 March – 9 May 1939	Japanese victory	{{flag|Republic of China (1912-49)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–1949)|army}}	200,000 troops in 39 Division (military)|divisions in 4 army groups: 19th, 1st, 30th and 32nd Army Groups, Hunan–Hubei–Jiangxii Border Area Guerrilla Command	{{citation needed|date|=|October 2017}}	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	120,000 troops in 3 Division (military)|divisions: 6th, 101st and 106th, Ishii Tank Unit (130 tanks and tankettes), 1 cavalry regiment, 1 artillery brigade, 2 artillery regiments (200 artillery pieces), 30+ ships and 50 motor boats and one battalion of Marines, and several air squadrons	{{citation needed|date|=|October 2017}}	https://en.wikipedia.org/wiki/Battle_of_Nanchang
Battle of Suixian–Zaoyang	Vicinities of Suizhou and Zaoyang, Hubei	20 April 1939 – 24 May 1939	Chinese victory	{{flag|Republic of China (1912-49)|name|=|Republic of China}}	{{flagicon|Republic of China (1912-49)|army}}	220,000 troops in 2 Armies:*Right Flank Army**29th Army Group**33rd Army Group*Left Flank Army**11th Army Group*4 other Army Groups**31st Army Group**21st Army Group**2nd Army Group**22nd Army Group*River Defense Force	28,000 menref name="Program"Program about the Battle of Suixian-Zaoyang https://www.youtube.com/watch?v=tlbcZcB2H-g&amp;feature=related&lt;/ref&gt;	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	113,000 troops in 3 division (military)|divisions:*3rd Division (Imperial Japanese Army)|3rd Division*13th Division (Imperial Japanese Army)|13th Division*16th Division (Imperial Japanese Army)|16th Division*4th Cavalry Brigade (Imperial Japanese Army)|4th Cavalry Brigade	21,000 menref name="Program"	https://en.wikipedia.org/wiki/Battle_of_Suixian–Zaoyang
Swatow Operation	Shantou	June 21–27, 1939	Japanese victory	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	43,000	?	{{flag|Republic of China (1912–1949)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–1949)|army}}	38,400	?	https://en.wikipedia.org/wiki/Swatow_Operation
Battle of Changsha (1939)	Changsha and proximity	17 September – 6 October 1939ref name = 1BC{{cite web |url=http://ww2db.com/battle_spec.php?battle_id=179 |title=First Battle of Changsha |last=Chen |first=Peter |website=World War II Database |access-date=18 April 2015}}&lt;/ref&gt;, 14 September - 13 October 1939ref name = WK{{cite web |url=http://www.huawenku.cn/html/baokandieshi/zhongguolishishij-201206111281.html |title=&#20853;&#20020;&#22478;&#19979;&#65306;&#22235;&#27425;&#38271;&#27801;&#20250;&#25112; |website=Huawenku |access-date=20 April 2015}}&lt;/ref&gt;	Chinese victory	{{flag|Republic of China (1912–1949)|name|=|China}}	{{flagicon|Republic of China (1912–1949)|army}}	~240,000 troops in 5 Army Groups, 1 Army, and 7 Corps divided between 30 Division (military)|Divisions in total.	~40,000	{{flag|Empire of Japan|name|=|Japan}}	{{flagicon|Empire of Japan|army}}	~100,000 troops in the Eleventh Army (Japan)|11th Army split between 6 Divisions,  12 naval ships,  100+ aircraft,  100+ motor boatsref name=TW{{cite web|url=http://lov.vac.gov.tw/Protection/Paper.aspx?i=7&amp;c=2 |title=&#31532;&#19968;&#27425;&#38263;&#27801;&#26371;&#25136; |website=&#27054;&#27665;&#25991;&#21270;&#32178; |access-date=20 April 2015 |deadurl=yes |archiveurl=https://web.archive.org/web/20160127201950/http://lov.vac.gov.tw/Protection/Paper.aspx?i=7&amp;c=2 |archivedate=27 January 2016 |df= }}&lt;/ref&gt;	40,000+ref name = 1BC 	https://en.wikipedia.org/wiki/Battle_of_Changsha_(1939)
Battle of South Guangxi	South Guangxi	15 November 1939 – 30 November 1940	Chinese victory	{{flag|Republic of China (1912–1949)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–49)|army}}	150,000 men, initially only 2 understrength army groups, reinforced by 2 army groups, including 200th Division (only mechanized force in NRA)	''Military casualties:'', 5,600 killed11,000 injured800 missing6,416 other casualties, '''Total: 23,816 military casualties'''ref name="Article 1"Article: The Battle of Kunlun Pass http://baike.baidu.com/view/160789.htm?fromId=86375&lt;/ref&gt;ref name="Article 2"Article: The Battle of South Guangxi http://baike.baidu.com/view/641737.htm&lt;/ref&gt;ref name="War Study"War Study: The Occupation of Nanning and the Failure of Kunlun http://warstudy.com/history/world_war/jp_china/408.xml&lt;/ref&gt;, , ''Civilian casualties:'', 11,147 killedref name="Article 2", 2,161 woundedref name="Article 2", 3,986 missingref name="Article 2", '''Total: 17,294 civilian casualties''', 45 billion yuan worth of private and public property damageref name="Article 2"	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	100,000 men,ref name=autogenerated1http://baike.baidu.com/view/641737.htm &#26690;&#21335;&#20250;&#25112;_&#30334;&#24230;&#30334;&#31185;&lt;!-- Bot generated title --&gt;]&lt;/ref&gt; 5th Division, 18th Division(partial), Guards Mixed Brigade, Taiwan Mixed Brigade, 100 planesref name="Article 1", 70 warshipsref name="Article 1", 2 aircraft carriersref name="Article 1"	4,000+ killed (including 85% of all officers)4,000+ wounded, 100 captured, '''Total: 8,100+ casualties'''ref name="Article 1"ref name="Article 2"ref name="War Study" ref name="Article 3"Article: NRA 5th Corps http://baike.baidu.com/view/4350887.htm&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_South_Guangxi
Battle of Kunlun Pass	Suburbs of Nanning, Guangxi	18 December 1939 – 11 January 1940	Chinese victoryref name=paine	{{flag|Republic of China (1912–49)|name|=|Republic of China}}	{{flagicon|Republic of China (1912–49)|army}}	5th corps 60,000200th Division:, 240 T-26: combat history|T-26 M1933 tanks120 L3/33|CV-33 tankettes30 BT tank|BT-5 tanks	5,600 killed11,000 injured800 missing6,416 other casualties, '''Total: 23,816 casualties'''ref name="Article 1"ref name="War Study"http://warstudy.com/history/world_war/jp_china/408.xml War Study: The Occupation of Nanning and the Failure of Kunlun]&lt;/ref&gt;	{{flag|Empire of Japan}}	{{KIA}}	5th division (particularly the 21st Brigade) plus various other units, total fighting strength of 45,000ref{{cite web|url=http://military.china.com/zh_cn/dljl/krzz/01/11044207/20081231/15261812_2.html |title=&#20013;&#22269;&#29579;&#29260;&#26426;&#26800;&#20891;&#20840;&#27516;&#26085;&#23495;&#19968;&#20010;&#26053;&#22242; |publisher=Military.china.com |date=2008-12-31 |accessdate=2013-10-26}}&lt;/ref&gt;, 100 planesref name="Article 1"Article: The Battle of Kunlun Pass http://baike.baidu.com/view/160789.htm?fromId=86375&lt;/ref&gt;, 70 warshipsref name="Article 1", 2 aircraft carriersref name="Article 1"	4,000+ killed (including 85% of all officers)4,000+ wounded, 100 captured, '''Total: 8,100+ casualties'''ref name="Article 1"ref name="War Study" 	https://en.wikipedia.org/wiki/Battle_of_Kunlun_Pass
1939–40 Winter Offensive	Vicinities of Anhui, Guangdong, Hubei, Henan, Hunan, Jiangxi, Shanxi, Shandong, Suiyuan	Late November 1, 1939, to Late March 1940	Chinese operational failure (due to failure to meet primary goals)ref name="ReferenceA"{{cite web|url=http://www.chinamil.com.cn/site1/historymil/2004-10/29/content_1143438.htm |title=Archived copy |accessdate=2010-11-29 |deadurl=yes |archiveurl=https://web.archive.org/web/20110707014518/http://www.chinamil.com.cn/site1/historymil/2004-10/29/content_1143438.htm |archivedate=2011-07-07 |df= }} (article about the Winter Offensive)&lt;/ref&gt;*Defeat of Japanese forces in Suiyuan and Henan	{{flagicon|Republic of China (1912-49)}}	{{flagicon|Republic of China|army}}	550,000 including Chinese Muslim Cavalry	60,000–70,000 dead, injured or missingref name="ReferenceA"	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	850,000 including Mengjiang Cavalry	20,000+ killed, 400 captured, 9 transport ships damaged and sunkref name="ReferenceA"	https://en.wikipedia.org/wiki/1939–40_Winter_Offensive
Battle of West Suiyuan	Suiyuan	1940	Chinese victory	{{flagicon|Republic of China (1912-49)}}	{{flagicon|Republic of China (1912-49)|army}}	Thousands of Hui people|Chinese Muslim and Han Chinese troops		{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	Thousands of Japanese and Mengjiang troops		https://en.wikipedia.org/wiki/Battle_of_West_Suiyuan
Battle of Wuyuan	Vicinity of Wuyuan County, Inner Mongolia|Wuyuan in Western Suiyuan	March 16 – April 3, 1940	Chinese victory	{{flagicon|Republic of China (1912-1949)}}	{{flagicon|Republic of China|army}}	28,000 including Chinese Muslim Cavalry		{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	5,000 - 10,000		https://en.wikipedia.org/wiki/Battle_of_Wuyuan
Battle of Zaoyang–Yichang	Vicinities of Zaoyang and Yichang, Hubei	1 May – 18 June 1940	Chinese victoryref name="pu1943"{{cite book|author=China. Hs&#252;an ch'uan pu|title=China After Five Years of War|url=https://books.google.com/books?id=mpYlAAAAMAAJ|year=1943|publisher=Gollancz|page=62}}&lt;/ref&gt;ref{{cite book|title=Bulletin of International News|url=https://books.google.com/books?id=7BALAQAAMAAJ|year=1941|publisher=Association for International Understanding|page=1770}}&lt;/ref&gt;ref{{cite book|title=Philippine Magazine|url=https://books.google.com/books?id=ATPnAAAAMAAJ|year=1940|publisher=Philippine Education Company|page=62}}&lt;/ref&gt;ref name="hidalgojr.1928"{{cite book|author1=Felix Reburreccion Hidalgo|author2=Charles E. Griffith, jr.|title=Philippine Magazine|url=https://books.google.com/books?id=N4329hVylYoC|year=1928|publisher=Philippine Education Company|page=62}}&lt;/ref&gt;	{{flag|Republic of China (1912-49)|name|=|Republic of China}}	{{flagicon|Republic of China (1912-49)}}	350,000 menrefhttp://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-179/JM-179.pdf JM-179] pp. 218&lt;/ref&gt;	60,000+ killed and wounded, 81 artillery pieces, 727 automatic weapons, 12,557 rifles capturedrefhttp://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-179/JM-179.pdf JM-179] pp. 218&lt;/ref&gt;	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan}}	1 Army (Corps)refhttp://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-179/JM-179.pdf JM-179] pp. 218&lt;/ref&gt;	2,700 killed, 7,800 woundedrefhttp://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-179/JM-179.pdf JM-179] pp. 218&lt;/ref&gt;Tens of Thousands(According to Japanese confidential files)refJACAR(Japan Center for Asian Historical Records)Ref.C11110494300&#12289;China General Army statistics in January 1941 (containing seven attached charts) . From January 1941(National Institute for Defense Studies)&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Zaoyang–Yichang
