Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Battle of Wytyczno	Wytyczno, near Włodawa, Poland	October 1, 1939	Soviet victory	{{flagicon|USSR}}	{{flagicon|USSR}}	1,200 men ,  200 guns ,  70 tanks	80 killed ,  102 wounded ,  4 tanks destroyed	{{flagicon|Poland}}	{{flagicon|Poland}}	2,000 men ,  13 guns	200 killed ,  467 wounded	https://en.wikipedia.org/wiki/Battle_of_Wytyczno
Winter War	Eastern Finland	{{Age in years, months, weeks and days|month1|=|11|day1|=|30|year1|=|1939|month2|=|03|day2|=|13|year2|=|1940}}	&lt;!-- See talk page; wait for consensus before changing. --&gt;Moscow Peace Treaty, See Winter War#Aftermath|Aftermath	{{flag|Finland}}	{{flagicon|Finland}}	{{refn|At the beginning of the war, the Finns had 300,000 men. The Finnish army had only 250,028 rifles (total 281,594 firearms), but White Guard (Finland)|White Guards brought their own rifles (over 114,000 rifles, total 116,800 firearms) to the war. The Finnish army reached its maximum strength at the beginning of March 1940 with 346,000 men in uniform.|group|=|"F"}}	{{refn|Finnish detailed death casualties: Dead, buried 16,766; Wounded, died of wounds 3,089; Dead, not buried, later declared as dead 3,503; Missing, declared as dead 1,712; Died as a prisoner of war 20; Other reasons (diseases, accidents, suicides) 677; Unknown 137.|group|=|"F"}}	{{flag|Soviet Union|1923}}	{{flagicon|Soviet Union}}	{{refn|ref| name="Meltiukhov2000"|#Meltiukhov2000|Meltiukhov (2000): ch. 4, Table 10|| 550,757 men on 1 January 1940 and 760,578 men by the beginning of March.|ref| name="Krivo1997_63"|#Krivo1997|Krivosheyev (1997), p. 63|| 1,000,000 men|ref| name="Kilin1999_383"|#Kilin1999|Kilin (1999), p. 383|| 20 divisions one month before the war and 58 divisions two weeks before its end in Leningrad Military District.|ref|#Manninen1994|Manninen (1994), p. 43|| |group|=|"F"}}	{{refn|There are many estimates of the number of the Soviet casualties. The official Soviet figure in 1940 was 48,745 dead. In 1990, Mikhail Semiryaga claimed 53,522 dead and N. I. Baryshnikov 53,500 dead. In the early 1990s, Grigoriy Krivosheyev claimed 126,875 dead and missing, and total casualties 391,783. Yuri Kilin in 1999 claimed 63,990 dead, total casualties 271,528 men; in 2007 he revised the estimate of dead to 134,000 dead.|ref| name= "Kilin2007b_91"|#Kilin2007b|Kilin (2007b), p. 91|| The results of the Krivosheyev's research group has a "semi-official" status. In 2013 Pavel Petrov reported that the Central Archives of the Russian Ministry of Defence has a database confirming 167,976 killed and missing.|group|=|"F"}}	https://en.wikipedia.org/wiki/Winter_War
Battle of Suomussalmi	Suomussalmi, Finland	December 7, 1939 to January 8, 1940	Finnish victory	{{flag|Finland}}	{{flagicon|Finland}}	Three regiments and separate battalions (11,500 men)	750 dead or missingref name="Kulju11" , 1,000 woundedref name="Kulju11"#Kulju2007|Kulju 2007, p. 195. The first Finnish reports estimated 600 dead, 162 missing and 1,200 wounded, but later some men died of their wounds.&lt;/ref&gt;	{{flag|Soviet Union|1923}}	{{flagicon|Soviet Union|1923}}	Elements of 9th Army (Soviet Union)|9th Army: Two divisions, one tank brigade (45,000–55,000 men)	21,000–27,500 dead or missingref{{fi icon}}{{ru icon}} http://heninen.net/raatteentie/joukkoviesti/ks2004-2_f.htm Suomalaiset ja ven&#228;l&#228;iset tutkijat etsiv&#228;t yhdess&#228; totuutta talvisodasta]&lt;/ref&gt;, 2,100 taken prisoner, 43 tanks captured	https://en.wikipedia.org/wiki/Battle_of_Suomussalmi
Battle of Summa	Summa Lahde Sector	16–22 December 1939, 1–15 February 1940	First battle in December: Finnish defensive victory, Second battle in February: Soviet victory, overrunning the Mannerheim Line	{{flag|Finland}}	Harald Öhquist, Carl Gustaf Emil Mannerheim	Third Division	Thousands (dead, wounded, missing)	{{flag|Soviet Union|1923}}	Semyon Timoshenko	7. Army and 13. Army	Tens of thousands (dead, wounded, missing) ,  Large amount of material (tanks, guns, aircraft, etc.)	https://en.wikipedia.org/wiki/Battle_of_Summa
Battle of Raate Road	Eastern Finland	January 1–7, 1940	Finnish victory	{{flag|Finland}}	{{flagicon|Finland}}	{{Citation needed|date|=|December 2016}}	402 killed according to Finnish estimatesref name="Kantakoski2"#Kantakoski1998|Kantakoski 1998, p. 283: ''310 dead, 92 missing and 618 wounded.''&lt;/ref&gt;	{{flag|Soviet Union|1923}}	{{flagicon|Soviet Union|1923}}	Officially 13,962ref name="Kulju10a"#Kulju2007|Kulju 2007, p. 130. Official number of the Soviet Stavka report.&lt;/ref&gt;–25 000	Est. at least 7,000–9,000 killed according to Finnish estimatesref name="Kulju1"#Kulju2007|Kulju 2007, p. 229. Modern Finnish estimate.&lt;/ref&gt;, 1,300 captured	https://en.wikipedia.org/wiki/Battle_of_Raate_Road
Battle of Kollaa	Kollaa river, Finland	December 7, 1939 to March 13, 1940	Finnish victory	{{flag|Finland}}	Woldemar Hägglund'''Division:'''Lauri Tiainen(until 31 January)Antero Svensson(from 1 February)	{{Citation needed|date|=|February 2007}}	1,500 dead or wounded (estimate)	{{flag|Soviet Union|1923}}	Ivan Khabarov(until 13 December)Grigori Shtern(from 13 December)'''Division:''' (December)M.S. Yevstigneyev'''Corps:''' (February–March)Dmitri Timofeyevich Kozlov|Dmitri KozlovV.G. Vorontsov	{{Citation needed|date|=|February 2007}}	8000 dead or wounded	https://en.wikipedia.org/wiki/Battle_of_Kollaa
Battle of Petsamo (1939)	Pechenga (urban-type settlement), Murmansk Oblast|Petsamo, Finland	November 30, 1939 to March 12, 1940	Soviet advance	{{flag|Finland}}	Captain (land and air)|Captain Antti Pennanen	Three companies	89 dead,, 135 wounded,, 16 captured	{{flag|Soviet Union|1923}}	Kirill Meretskov,  Valerian Frolov	Two divisions	181 dead,, 301 wounded,, 72 captured	https://en.wikipedia.org/wiki/Battle_of_Petsamo_(1939)
Operation Barbarossa	Eastern Europe|Eastern and Northern Europe	{{Age in years, months, weeks and days|month1|=|06|day1|=|22|year1|=|1941|month2|=|12|day2|=|05|year2|=|1941}}	See ''#Aftermath|Aftermath''	{{ubl|flagcountry|Nazi Germany||flagcountry|Kingdom of Romania||flag|Finland||flagcountry|Kingdom of Italy||flagcountry|Kingdom of Hungary||flagcountry|Slovak Republic (1939–1945)|name|=|Slovakia||flagcountry|Independent State of Croatia|name|=|Croatia}}	{{ubl|flagicon|Nazi Germany| '''Adolf Hitler'''|Walther von Brauchitsch|Franz Halder|Fedor von Bock|Gerd von Rundstedt|Wilhelm Ritter von Leeb|flagicon|Kingdom of Romania| Ion Antonescu|flagicon|FIN| Carl Gustaf Emil Mannerheim|Gustaf Mannerheim}}	{{ubl|3.8 million personnel|sfn|Clark|2012|p|=|73|sfn|Glantz|2001|p|=|9||3,350 tanks|sfn|Glantz|2010a|p|=|20|sfn|Clark|2012|p|=|73||2,770 aircraft|sfn|Glantz|2010a|p|=|20||7,200 artillery pieces|sfn|Clark|2012|p|=|73|sfn|Glantz|2010a|p|=|20}}	{{Collapsible list|title |=| Breakdown|'''Casualties of 1941:'''----According to German Army (Wehrmacht)|German Army medical reports (including Army of Norway (Wehrmacht)|Army Norway):|sfn|Askey|2014|p|=|178|* 186,452 killed* 40,157 missing* 655,179 wounded in action|Efn|Excludes an additional 395,799 who were deemed unfit for service due to non-combat causes, transported out of their Army Group sectors for treatment, and treated in divisional/local medical facilities. 98% of those 395,799 eventually returned to active duty service, usually after relatively short treatment, meaning about 8,000 became permanent losses. Askey 2014, p. 178.|* 8,000 evacuated sick----* 2,827 aircraft destroyed|sfn|Bergström|2007|p|=|117|* 2,839 tanks destroyed|sfn|Askey|2014|p|=|185|----'''Other involved country losses'''* |flagicon|ROU| 114,000+ casualties (at least 39,000 dead or missing)|Efn|See: Mark Axworthy, ''Third Axis Fourth Ally: Romanian Armed Forces in the European War, 1941–1945''. pages 58 and 286.|* |flagicon|Kingdom of Italy| 8,700 casualties|Efn|See:Robert Kirchubel. ''Operation Barbarossa: The German Invasion of Soviet Russia''. Bloomsbury Publishing. Chapter: "Opposing Armies".|* |flagicon|FIN| 5,000+ casualties|Efn|Includes only Finnish casualties in Northern Finland during Operation Silver Fox.|sfn|Ziemke|1959|p|=|184|}}	{{flag|Soviet Union|1923}}	{{ubl|flagicon|Soviet Union|1923| '''Joseph Stalin'''|Georgy Zhukov|Aleksandr Vasilevsky|Aleksandr Vasilyevskiy|Semyon Budyonny|Kliment Voroshilov|Semyon Timoshenko|Markian Popov|Fyodor Kuznetsov|Dmitry Pavlov (general)|Dmitry Pavlov|Executed||Ivan Tyulenev|Mikhail Kirponos|KIA}}	{{ubl|2.6–2.9 million personnel|sfn|Glantz|2001|p|=|9|loc|=|states 2.68 million|sfn|Glantz|1998|pp|=|10–11, 101, 293|loc|=|states 2.9 million|sfn|Taylor|1974|p|=|98|loc|=|states 2.6 million||11,000 tanks|sfn|Mercatante|2012|p|=|64|sfn|Clark|2012|p|=|76||7,133–9,100 military aircraft|sfn|Glantz|2010a|p|=|28|loc|=| states 7,133 aircraft|sfn|Mercatante|2012|p|=|64|loc|=|states 9,100 aircraft|sfn|Clark|2012|p|=|76|loc|=|states 9,100 aircraft}}	{{Collapsible list|title |=| Breakdown|'''Casualties of 1941:'''----Based on Soviet archives:|sfn|Krivosheev|1997|pp|=|95–98|* 566,852 killed in action* 235,339 died from non-combat causes* 1,336,147 sick or wounded via combat and non-combat causes* 2,335,482 missing in action or captured* c. 500,000 Soviet reservists captured while still mobilizing----* 21,200 aircraft lost|sfn|Bergström|2007|p|=|117|* 20,500 tanks destroyed|sfn|Sharp|2010|p|=|89|}}	https://en.wikipedia.org/wiki/Operation_Barbarossa
Defense of Brest Fortress	Brest, Belarus|Brest, Soviet Union	22–29 June 1941	German victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	about 17,000	429 dead, 668 woundedref name="Christian Ganzer 1941 p. 449-466"Christian Ganzer: ''German and Soviet Losses as an Indicator of the Length and Intensity of the Battle for the Brest Fortress (1941).'' In: The Journal of Slavic Military Studies, Volume 27, Issue 3, p. 449-466., here p. 458-459.&lt;/ref&gt;	{{flag|Soviet Union|1923}}	{{flagicon|Soviet Union|1923}}	over 9,000ref name="ChristianGanzer"Christian Ganzer: Remembering and Forgetting: Hero Veneration in the Brest Fortress. In: Siobhan Doucette, Andrej Dynko, Ales Pashkevich (ed.): Returning to Europe. Belarus. Past and Future. Warsaw 2011, p. 138-145; here p. 141.&lt;/ref&gt;	more than 2,000 deadrefChristian Ganzer: Remembering and Forgetting: Hero Veneration in the Brest Fortress. In: Siobhan Doucette, Andrej Dynko, Ales Pashkevich (ed.): Returning to Europe. Belarus. Past and Future. Warsaw 2011, p. 138-145; here p. 139.&lt;/ref&gt;, about 6,800 capturedref name="Christian Ganzer p. 449-466"Christian Ganzer: ''German and Soviet Losses as an Indicator of the Length and Intensity of the Battle for the Brest Fortress (1941).'' In: The Journal of Slavic Military Studies, Volume 27, Issue 3, p. 449-466., here p. 463.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Defense_of_Brest_Fortress
Battle of Białystok–Minsk	Eastern Poland, Belorussia	22 June–3 July 1941	German victory	{{Flagcountry|Nazi Germany}}	{{Flag icon|Nazi Germany}}	750,000	276 aircraft lost	{{flag|Soviet Union|1923}}	{{Flag icon|Soviet Union|1923}}	675,000	341,073 killed or capturedrefGerman accounts give 287,704 POW: Bergstrom 2007, p. 28: Cites Krivosheyev, ''Grif sekretnosti snyat. Poterivooruzhyonnykh sil SSSR v voynakh, boyevykh deystviyakh i voyennykh konfliktakh'', p. 162.&lt;/ref&gt;, 76,717 wounded, 417,790 overallref name=g293, 4,799 tanks, 9,427 gunsref name=g293Glantz 1995, p. 293&lt;/ref&gt;, 1,669 AircraftrefBergstrom 2007, p. 28: Cites Pshenyanik, ''Sovtskie Voenno-vozdushnye sily v bor'be snemetsko fashistskoy aviatssiey v letne-osenney kampanii 1941'', p. 94.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Białystok–Minsk
Operation Rentier	Territories ceded by Finland to the Soviet Union|Petsamo, Finland	June 22, 1941	German victory	{{flag|Nazi Germany|name|=|Germany}}		2nd Mountain Division (Wehrmacht)|2nd and 3rd Mountain Division (Wehrmacht)|3rd Mountain Division, 27,500 menrefMann &amp; J&#246;rgensen (2002), p. 81&lt;/ref&gt;		{{flag|Soviet Union|1923}}		unknown		https://en.wikipedia.org/wiki/Operation_Rentier
Baltic Operation	Baltic Countries, Soviet Union|USSR	22 June-9 July 1941	Successful German Offensive	{{flagcountry|Nazi Germany}}	Wilhelm Ritter von Leeb	655,000, 7,673 guns and mortars, 1,389 tanks, 1,070 aircraft	n/a	{{flagcountry|Soviet Union|1923}}	Fyodor Isodorovich Kuznetsov	{{sfn|Krivosheev|1997|p|=|111}}	{{sfn|Krivosheev|1997|p|=|111}}	https://en.wikipedia.org/wiki/Baltic_Operation
Battle of Raseiniai	Raseiniai, Lithuania	23–27 June 1941	German victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{sfn|Rosado|Bishop|2005|p|=|66}}	Unknown	{{flag|Soviet Union|1923}}	{{flagicon|Soviet Union|1923}}	{{sfn|Glantz|2002|p|=|32}}	{{sfn|Glantz|2002|p|=|32}}	https://en.wikipedia.org/wiki/Battle_of_Raseiniai
Battle of Brody (1941)	Brody, Ukraine (then nominally part of Poland until 1945, after nominally part of the Soviet Union)	23–30 June 1941	German victory	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{sfn|Popel|2001|p|=|414}}	{{sfn|Ryabyshev|2002}}	{{flag|Soviet Union|1923}}	{{flagicon|Soviet Union|1923}}	{{sfn|Popel|2001|p|=|414}}	{{sfn|Ryabyshev|2002}}	https://en.wikipedia.org/wiki/Battle_of_Brody_(1941)
