Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Battle of the Grebbeberg	Rhenen, Netherlands	11–13 May 1940	German victory	{{flagicon|Netherlands}}	{{flagicon|Netherlands}}	-ca. 15,000 men, 1 division, 1 brigade ref name="Dutch History Site"http://www.waroverholland.nl/ War over Holland -- May 1940: the Dutch struggle]&lt;/ref&gt;-	417 Killed in Action|KIA ref name="Dutch History Site"	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	23,000 men, 1 division, 1 brigade ref name="Dutch History Site"	275 KIA ref name="Dutch History Site"	https://en.wikipedia.org/wiki/Battle_of_the_Grebbeberg
Battle of the Afsluitdijk	Afsluitdijk, Netherlands	12–14 May 1940	Dutch victory	{{flagicon|Netherlands}}	{{flagicon|Netherlands}}	-225 soldiers inside series of fortressesref name="Dutch History Site"http://www.waroverholland.nl/index.php?url=/summary_day_4_10.html War over Holland -- May 1940: the Dutch struggle]&lt;/ref&gt;1 HNLMS Johan Maurits van Nassau|gunboat-	-1 killed2 wounded2 civilians killed10 civilians woundedref name="Dutch History Site 2"http://www.waroverholland.nl/summary_day_4_10.html Five days of war War over Holland -- May 1940: the Dutch struggle]{{dead link|date=October 2016 |bot=InternetArchiveBot |fix--attempted=yes }}&lt;/ref&gt;-	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	500+ soldiers (1st Cavalry Division)69 aircrafthowitzersref name="Dutch History Site"	5+ killed25+ wounded4 aircraft shot downref name="Dutch History Site 2"	https://en.wikipedia.org/wiki/Battle_of_the_Afsluitdijk
German bombing of Rotterdam	Rotterdam	14 May 1940	Rotterdam surrenders*884 civilian dead*Destruction of Rotterdam	{{flagicon|Netherlands}}		No remaining operational fighter aircraftrefDe luchtverdediging mei 1940, by F.J. Molenaar. The Hague, 1970.&lt;/ref&gt;	{{sfn|Hooton|2007|p|=|79}}	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	~80 aircraft directly involved, ~700 involved in concurrent operations	None	https://en.wikipedia.org/wiki/German_bombing_of_Rotterdam
Battle of Belgium	Belgium and Luxembourg	10–28 May 1940	Decisive German victory* Belgian surrender* Establishment of Belgian government in exile|Belgian government and Free Belgian Forces|army in exile	{{flag|Belgium}}	{{flagicon|Belgium}}	{{efn|name|=|Divisions}}	{{efn|name|=|Men lost}}	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{sfn|Holmes|2001|p|=|324}}	{{efn|name|=|German casualties}}	https://en.wikipedia.org/wiki/Battle_of_Belgium
-Battle of Fort Eben--Emael-	-Fort Eben--Emael, on the Netherlands|Dutch--Belgium|Belgian border, near the Dutch city of Maastricht.-	10–11 May 1940	German victory*Fort captured*Bridgehead into Belgium secured	{{flag|Nazi Germany}}	{{flagicon|Nazi Germany}}	493ref name=Luc22Lucas, p. 22&lt;/ref&gt;	44 killed, 99 woundedrefKuhn, pp. 31&#8211;32&lt;/ref&gt;ref name=Har55Harclerode, p. 55&lt;/ref&gt;	{{flag|Belgium}}	{{flagicon|Belgium}}	1,200+ (estimated)	-{{#tag:ref|This figure only refers to casualties and prisoners at Fort Eben--Emael. Belgian casualties taken during fighting at the three bridges is unknown.|ref|Harclerode, p. 55.||group|=|"Notes"}}-	-https://en.wikipedia.org/wiki/Battle_of_Fort_Eben--Emael-
Battle of Hannut	Hannut, Belgium	12–14 May 1940	-Indecisive&lt;!----See Template:Infobox military conflict Result: for permitted terms----&gt;-	{{flagicon|France}}	{{flagicon|France}}	'''2 armoured divisions'''20,800 personnel 600 Armoured fighting vehicle|AFVs ref name="Gunsburg 1992, p. 210"{{Harvnb|Gunsburg|1992|p=210}}&lt;/ref&gt;ref group="Notes"Gunsburg gives these numbers: 2nd DLM: 400 officers, 10,000 men, 300 AFVs &lt;br /&gt; 3rd DLM: some 400 officers,10,000 men, 300 AFVs&lt;/ref&gt;	121 tanks destroyed/damaged or abandonedref name="Gunsburg 1992 236"{{Harvnb|Gunsburg|1992|p=236}}&lt;/ref&gt;, personnel: unknown	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	'''2 Panzer divisions''', 25,927 personnel ,  618 tanks (some sources say 674)ref{{Harvnb|Battistelli|Anderson|2007|p=75}}&lt;/ref&gt;108 artillery pieces ref name="Gunsburg 1992, p. 210"ref group="Notes"Gunsburg gives these numbers, including ''Befehlspanzer'': 3rd Panzer Division: 400 officers, 13,187 men, 343 tanks, 48 artillery pieces,&lt;br /&gt; 4th Panzer Division: 335 officers, 12,005 men, 331 tanks, 60 artillery pieces&lt;/ref&gt;,  1,252 aircraft	60 killed ,  80 wounded ,  49 tanks destroyed, 111 tanks damaged ref{{Harvnb|Gunsburg|1992|p=237}}&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Hannut
Battle of Gembloux (1940)	Gembloux, Belgium and vicinity	14–15 May 1940	{{#tag:ref|"The Allied success at Gembloux was nullified by the Battle of Sedan (1940)|German victory further south, but Reichenau's failure to destroy or at least defeat the Allied corps de bataille at Gembloux was crucial. It is true that the Allied high command proved unable in the days following to use the ''corps de bataille'' to restore the Allied front. But it took the Wehrmacht another two weeks of fighting to encircle and capture part of First Army, allowing the rest and the bulk of the British Expeditionary Force (World War II)|BEF to escape to Dunkirk"|ref|Gunsberg 2000, p. 140.||Frieser also regards the battle as a French victory at the tactical level.|ref|Frieser (2005), pp. 243–44.||group|=|"nb"}}	{{flagicon|France}}	{{flagicon|France}}	3 motorised divisions3 infantry divisions	-AFV unknown~ 2,000 killed, wounded and missing, /III Corps; a few hundred casualtiesref name="Gunsberg 2000, pp. 137--138"Gunsberg 2000, pp. 137&#8211;138.&lt;/ref&gt;-	{{flagicon|Nazi Germany}}	{{flagicon|Nazi Germany}}	2 ''panzer'' divisions3 infantry divisions	unclear33–37 percent of German tank strength lost304 killed413 wounded29 missingIV Corps, a few hundred casualties.ref name="Gunsberg 2000, p. 137"Gunsberg 2000, p. 137.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Gembloux_(1940)
German invasion of Luxembourg	Luxembourg	10 May 1940	-German victory* German occupation of Luxembourg in World War II|German occupation of Luxembourg* Creation of the Luxembourgish government--in--exile-	{{flag|Luxembourg}}	{{flagicon|Luxembourg}}	'''Luxembourg:''', 425 soldiers246 gendarmes'''France:'''18,000 troops, '''United Kingdom:'''No. 226 Squadron RAF	'''Luxembourg:'''1 soldier wounded22 soldiers captured, 6 gendarmes wounded, 54 gendarmes captured'''France:'''5 Spahis killed'''United Kingdom:''' 1 pilot killed, 2 pilots captured, 1 aircraft destroyed	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	~50,000 soldiers600 tanks	Unknown	https://en.wikipedia.org/wiki/German_invasion_of_Luxembourg
Battle of France	France, Low Countries	10 May – 25 June 1940 (46 days)	Decisive German victory*Occupation of France|German Occupation of northern France*Creation of the Axis puppet state Vichy France|Vichy regime in Southern France*Creation of Free France*Beginning of guerrilla warfare by French Resistance cells*Japanese Japanese invasion of French Indochina|occupation of French Indochina	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{efn|Hooton uses the Bundesarchiv, Militärarchiv in Freiburg. ''Luftwaffe'' strength included gliders and transports used in the assaults on the Netherlands and Belgium.|ref| name="Hooton 2007, pp. 47–48"|Hooton 2007, pp. 47–48|}}	-{{efn|The final count of the German dead is possibly as high as 49,000 men when including the losses suffered by the ''Kriegsmarine'', because of additional non--combat causes, the wounded who died of their injuries and the missing who were confirmed as dead.|ref| name= f95| This higher figure has not been used in the overall casualty figure}}-	{{flagicon|FRA}}	{{flagicon|FRA}}	{{sfn|Zaloga|2011|p|=|73}}	{{efn|Steven Zaloga notes that "According to a postwar French Army study, overall French tank losses in 1940 amounted to 1,749 tanks lost out of 4,071 engaged, of which 1,669 were lost to gunfire, 45 to mines and 35 to aircraft. This amounts to about 43 percent. French losses were substantially amplified by the large numbers of tanks that were abandoned or scuttled by their crews".|sfn|Zaloga|2011|p|=|73}}	https://en.wikipedia.org/wiki/Battle_of_France
Battle of Sedan (1940)	Sedan, France|Sedan and the surrounding area, France	12–15 May 1940	Decisive German victoryref name="Frieser 2005, p. 145"Frieser 2005, p. 145.&lt;/ref&gt;refMitcham 2000, p. 38.&lt;/ref&gt;	{{Flagdeco|France}}	{{Flagdeco|France}}	20,000 men300 tanks174 artillery piecesref name="Frieser 2005, p. 158"Frieser 2005, p. 158.&lt;/ref&gt;152 bombersref name="Frieser 2005, p. 179"Frieser 2005, p. 179.&lt;/ref&gt;ref name="Healy 2007, p. 56" 250 fightersref name="Frieser 2005, p. 179"ref name="Healy 2007, p. 56"	manpower losses unknownartillery losses unknowntank losses unknown167 aircraftref name="Frieser 2005, p. 181"	{{Flagdeco|Nazi Germany}}	{{Flagdeco|Nazi Germany}}	60,000 menref name="Frieser 2005, p. 157"Frieser 2005, p. 157.&lt;/ref&gt;41,000 vehiclesrefKrause and Cody 2006, p. 171.&lt;/ref&gt;771 tanksref name="Healy 2007, p. 44"Healy 2007, p. 44.&lt;/ref&gt;1,470 aircraftref name="Frieser 2005, p. 158"141 artillery piecesref name="Frieser 2005, p. 158"96 rubber boats	120 killed400 wounded (12–14 May)ref name="Frieser 2005, p. 196"647 killed or wounded (15–17 May)ref name="Frieser 2005, p. 210"Frieser 2005, p. 210.&lt;/ref&gt;at least 81 rubber boatsref name="Frieser 2005, p. 168"	https://en.wikipedia.org/wiki/Battle_of_Sedan_(1940)
Battle of Montcornet	Montcornet, Aisne|Montcornet, France	17 May 1940	Tactical German victory	{{flag|France}}	{{flagicon|France|23px}}	4e Division cuirassée	14 killed9 missing6 wounded23 tanks disabled. destroyed or abandoned	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany|23px}}	1st Panzer Division (Wehrmacht)|1st Panzer Division	100 killed	https://en.wikipedia.org/wiki/Battle_of_Montcornet
Battle of Abbeville	Abbeville	27 May – 4 June 1940	German victory	{{flagcountry|French Third Republic}}	{{flagicon|French Third Republic}}		{{circa|275}}	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}		{{circa|200}}	https://en.wikipedia.org/wiki/Battle_of_Abbeville
Operation Paula	France, Paris	3 June 1940	Operational failurerefChant 1987, p. 180.&lt;/ref&gt;	{{Flag icon|France}}	{{Flag icon|France}}	120 fightersref name="Hooton 2007, p. 84"	35 aircraft (31 fighters), 906 casualties, 254 dead, (166 were servicemen)ref name="Hooton 2007, p. 84"	{{Flag icon|Nazi Germany}}	{{Flag icon|Nazi Germany}}	1,100 aircraft (460 fighters)	10 aircraft (four bombers)ref name="Hooton 2007, p. 84"	https://en.wikipedia.org/wiki/Operation_Paula
Battle of Dunkirk	Dunkirk, France	26 May – 4 June 1940	German tactical victory* Allied forces withdraw to BritainAllied strategic victory * Success of Operation Dynamo* Allies evacuate approx. 85% of stranded troops	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	-approx. 400,000 338,226 evacuatedref{{cite web |url=http://www.historyofwar.org/articles/operation_dynamo.html#5 |title=Operation Dynamo, the evacuation from Dunkirk, 27 May&#8211;4 June 1940 |publisher=Rickard, J &#8211; Military History Encyclopedia on the Web |date=February 16, 2008 |accessdate=December 5, 2016 |deadurl=no |archiveurl=https://web.archive.org/web/20161217050437/http://www.historyofwar.org/articles/operation_dynamo.html#5 |archivedate=17 December 2016 |df=dmy--all }}&lt;/ref&gt;-	-* Allies18,000 Killed (British and French soldiers especially with some Canadians and Belgians) * British The loss : 68,111 (killed, wounded or captured) ~3,500 killed 63,879 vehicles including tanks and motorcycles2,472 field guns, 6 destroyersover 200 marine vesselsover 100 aircraftref{{cite web|url=http://militaryhistory.about.com/od/worldwarii/p/dunkirk.htm|title=Evacuation of Dunkirk: Miracle on the Channel|publisher=|deadurl=no|archiveurl=https://web.archive.org/web/20161218062818/http://militaryhistory.about.com/od/worldwarii/p/dunkirk.htm|archivedate=18 December 2016|df=dmy--all}}&lt;/ref&gt;ref{{cite web|url=http://www.guidedbattlefieldtours.co.uk/education/battle--france--dunkirk--evacuation--may--june--1940/|title=The Battle for France and the Dunkirk Evacuation May&#8211;June 1940|website=guidedbattlefieldtours.co.uk|publisher=|deadurl=no|archiveurl=https://web.archive.org/web/20161226222201/http://www.guidedbattlefieldtours.co.uk/education/battle--france--dunkirk--evacuation--may--june--1940/|archivedate=26 December 2016|df=dmy--all}}&lt;/ref&gt;* French35,000 captured3 destroyersref{{cite web |url=http://www.bbc.co.uk/pressoffice/pressreleases/stories/2004/02_february/03/dunkirk_facts_figures.shtml |title=Dunkirk facts &amp; figures |publisher=BBC |deadurl=no |archiveurl=https://web.archive.org/web/20170205201320/http://www.bbc.co.uk/pressoffice/pressreleases/stories/2004/02_february/03/dunkirk_facts_figures.shtml |archivedate=5 February 2017 |df=dmy--all }}&lt;/ref&gt;ref{{cite web|url=http://www.secondworldwarhistory.com/rescue--at--dunkirk.asp|title=Timeline of the Dunkirk Evacuation (May 27th, 1940 -- June 4th, 1940)|publisher=|deadurl=no|archiveurl=https://web.archive.org/web/20161226221306/http://www.secondworldwarhistory.com/rescue--at--dunkirk.asp|archivedate=26 December 2016|df=dmy--all}}&lt;/ref&gt;ref{{cite web |url=http://www.slate.fr/story/148845/nolan--dunkerque--francais--lecon--histoire |title=Archived copy |accessdate=2017--07--27 |deadurl=no |archiveurl=https://web.archive.org/web/20170723182553/http://www.slate.fr/story/148845/nolan--dunkerque--francais--lecon--histoire |archivedate=23 July 2017 |df=dmy--all }}&lt;/ref&gt;-	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	approx. 800,000	* (Estimated)20,000 killed and wounded100 tanks156 aircraftrefhttp://www.historytoday.com {{webarchive|url=https://web.archive.org/web/20080704123435/http://www.historytoday.com/ |date=4 July 2008 }}&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Dunkirk
Italian invasion of France	-Franco--Italian border-	10–25 June 1940	{{sfn|Mitcham|2008|p|=|345}}	{{flagicon|FRA}}	{{flagicon|France}}	~180,000 total, (85,000 at the front)	~240 battle casualties, 1 destroyer damaged, 1 sloop damaged	{{flagicon|Italy|1861}}	{{flagicon|Italy|1861}}	300,000 total	~3,880 battle casualties, 2,151 frostbite victims, 1 submarine destroyed	https://en.wikipedia.org/wiki/Italian_invasion_of_France
Battle of Britain	British airspace	-{{refn|The British date the battle from 10 July to 31 October 1940, which represented the most intense period of daylight airstrike|bombing.|ref| name = "Foreman 1989 8"|{{harvnb|Foreman|1989|p=8}}|| German historians usually place the beginning of the battle in May 1940 and end it mid--August 1941, with the withdrawal of the bomber units in preparation for Operation Barbarossa|Operation ''Barbarossa'', the campaign against the Soviet Union, which began on 22 June 1941.|ref| name = "Foreman 1989 8" |group|=|nb}}-	-{{refn|For example: Terraine states that the outcome was "decisive"; quoting ''Luftwaffe'' General Werner Kreipe, who described it as a "strategic (Luftwaffe) failure" and "turning point in the Second World War". It also states the "German Air Force was bled almost to death, and suffered losses that could never be made good throughout the course of the war". Quoting Dr (Karl) Klee "The invasion and subjugation of Britain was made to depend on that battle, and its outcome therefore materially influenced the further course and fate of the war as a whole".|ref|{{harvnb|Terraine|1985|p= 219}}||Other references that can be consulted include::Shulman 2004, p. 63.:Bungay 2000, p. 368.:Hough and Richards 2007, p. XV.:Overy 2001, p. 267.:Deighton 1980, p. 213.:Keegan 1997, p. 81.:Buell 2002, p. 83.:Terraine 1985, p. 181.|:Shirer 1991, p. 769.:AJP Taylor 1974, p. 67.:Bungay quoting Drew Middleton "The Sky Suspended" Bungay 2000, p. 368.:Klee, Dr Karl. ''Operation "Sea Lion" and the Role Planned for the Luftwaffe''. Maxwell AFB, Ala.: USAF Historical Division, Monograph Series 8--1115--5, 1955.|group|=| nb}}-	{{Flagcountry|United Kingdom}}	{{Flagicon|United Kingdom}}	-{{refn|754 single--seat fighters, 149 two--seat fighters, 560 bombers and 500 coastal aircraft. The RAF fighter strength given is for 0900 1 July 1940, while bomber strength is for 11 July 1940.|ref| name = "Bungay p. 107"|group|=|nb}}-	{{refn|1,220 fighters (per type: 753 Hurricane, 467 Spitfire)|ref|{{harvnb|Overy|2001|p=161}}|| 376 bombers, 148 aircraft (RAF Coastal Command)|ref| name="Bungay p. 368"| |group|=|nb}}	{{Flagcountry|Nazi Germany}}	{{Flagicon|Nazi Germany}}	-{{refn|Figures taken from Quartermaster General 6th Battalion returns on 10 August 1940. According to these, the ''Luftwaffe'' deployed 3,358 aircraft against Britain, of which 2,550 were serviceable. The force was made up by 934 single--seat fighters, 289 two--seat fighters, 1,482 medium bombers, 327 dive--bombers, 195 reconnaissance and 93 coastal aircraft, including unserviceable aircraft. The number of ''serviceable'' aircraft amounted to 805 single--seat fighters, 224 two--seat fighters, 998 medium bombers, 261 dive--bombers, 151 reconnaissance and 80 coastal aircraft.|ref| name="Wood and Dempster 2003, p. 318."|Wood and Dempster 2003, p. 318.|| group |=| nb}}-	{{refn|812 fighters (per type: 569 Bf 109, 243 Bf 110), 822 bombers (per type: 65 Ju 87, 271 Ju 88, 184 Do 17, 223 He 111, 29 He 59, 24 He 159, 34 Others) ,  343 non combat (per type: 76 Bf 109, 29 Bf 110, 25 Ju 87, 54 Ju 88, 31 Do 17, 66 He 111, 7 He 59, 7 He 159, 48 Others)|ref| name="ReferenceA"}}	https://en.wikipedia.org/wiki/Battle_of_Britain
Kanalkampf	Southern England and the English Channel	4 July – 11 August 1940	German victoryrefSmith 2007, pp. 98&#8211;99.&lt;/ref&gt;	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}		'''RAF''':115 fighter aircraft|fighters destroyed42 fighters damaged71 pilots killed in action19 pilots wounded in action4 pilots missing in action'''Royal Navy''':35 merchant ships sunk(including neutral ships)7 fishing vesselsseveral naval vessels4 destroyersat least 176 sailors killed~300 casualties	{{flag|Nazi Germany}}	{{flagicon|Nazi Germany}}		'''Luftwaffe''':80 fighter aircraft|fighters destroyed36 fighter aircraft damaged22 Dive bombers destroyed22 dive bombers damaged100 medium bombers destroyed33 medium bombers damaged13 naval aircraft destroyed1 naval aircraft damaged201 airmen killed75 airmen wounded277 missing16 airmen prisoner of war|captured'''Kriegsmarine''':~4	https://en.wikipedia.org/wiki/Kanalkampf
