Engagement	Location	Date	Casualties 1	Casualties 2	Result
Battle of Taierzhuang	[[Tai'erzhuang]] ([[Shandong]]), [[Pizhou]] ([[Jiangsu]])	evening of 24 March-7 April 1938	20,000<ext><name>ref</name><attr> name="Documentary"</attr><inner>ShenZhen TV Documentary 'Solving mysteries: Against the common enemy - The War of Resistance Against Japanese Aggression' https://www.youtube.com/watch?v=jfEO6j-mmVc&amp;feature=relmfu The Tai'erzhuang Campaign</inner><close>&lt;/ref&gt;</close></ext>	'''Japanese claim''': 11,198 casualties<ext><name>ref</name><attr> name="Program"</attr></ext> ,'''Chinese estimate''': 24,000 killed<ext><name>ref</name><attr> name="Program"</attr></ext>  <br/> 30 tanks destroyed<ext><name>ref</name><attr> name="Documentary"</attr></ext><ext><name>ref</name><attr> name="Common Knowledge"</attr><inner>&#20013;&#22269;&#21382;&#21490;&#24120;&#35782; Common Knowledge about Chinese History pp 185 {{ISBN|962-8746-47-2}}</inner><close>&lt;/ref&gt;</close></ext>,719 captured,31 artillery pieces,11 armored cars,8 armored fighting vehicles<ext><name>ref</name><attr/><inner>Baike Encyclopedia Article: The victory of Tai'erzhuang http://baike.baidu.com/view/52810.htm</inner><close>&lt;/ref&gt;</close></ext>	Chinese victory	
Amoy Operation	[[Xiamen|Amoy]] Island	May 10-12, 1938	?	?	Japanese victory	
Battle of Wuhan	[[Wuhan]] and surrounding provinces ([[Anhui Province|Anhui]], [[Henan Province|Henan]], [[Jiangxi Province|Jiangxi]], [[Hubei Province|Hubei]])	11 June - 27 October 1938(4 months, 2 weeks, and 2 days)	~400,000<ext><name>ref</name><attr> name="Mackinnon"</attr><inner>Stephen MacKinnon, "The Tragedy of Wuhan, 1938," Modern Asian Studies 30.4  (October 1996):  931&#8211;943.</inner><close>&lt;/ref&gt;</close></ext>	~140,000<ext><name>ref</name><attr> name="Mackinnon" </attr></ext>	Tactical Japanese victory,Strategic Chinese victory	
Battle of Wanjialing	[[Wanjialing]] region	Beginning of August - 11 October 1938	Unknown	30,000+ killed or captured ([[101st Division (Imperial Japanese Army)|101st]] and [[106th Division (Imperial Japanese Army)|106th]] divisions, not including relief units ([[9th Division (Imperial Japanese Army)|9th]] and [[27th Division (Imperial Japanese Army)|27th divisions]])	Chinese victory* Heavy losses among the Japanese [[101st Division (Imperial Japanese Army)|101st]] and [[106th Division (Imperial Japanese Army)|106th]] divisions	
Canton Operation	[[Guangdong]] Province	October-December 1938	?	?	Japanese victory	
Hainan Island Operation	[[Hainan]], [[Republic of China (1912-49)|China]]	February 1939	Unknown	Unknown	Japanese victory	
Battle of Nanchang	[[Nanchang]] and proximity	17 March - 9 May 1939	{{citation needed|date|=|October 2017}}	{{citation needed|date|=|October 2017}}	Japanese victory	
Battle of Suixian-Zaoyang	Vicinities of [[Suizhou]] and [[Zaoyang]], [[Hubei]]	20 April 1939 - 24 May 1939	28,000 men<ext><name>ref</name><attr> name="Program"</attr><inner>Program about the Battle of Suixian-Zaoyang https://www.youtube.com/watch?v=tlbcZcB2H-g&amp;feature=related</inner><close>&lt;/ref&gt;</close></ext>	21,000 men<ext><name>ref</name><attr> name="Program"</attr></ext>	Chinese victory	
Swatow Operation	[[Shantou]]	June 21-27, 1939	?	?	Japanese victory	
Battle of Changsha (1939)	[[Changsha]] and proximity	17 September - 6 October 1939<ext><name>ref</name><attr> name = 1BC</attr><inner>{{cite web |url=http://ww2db.com/battle_spec.php?battle_id=179 |title=First Battle of Changsha |last=Chen |first=Peter |website=World War II Database |access-date=18 April 2015}}</inner><close>&lt;/ref&gt;</close></ext>,14 September - 13 October 1939<ext><name>ref</name><attr> name = WK</attr><inner>{{cite web |url=http://www.huawenku.cn/html/baokandieshi/zhongguolishishij-201206111281.html |title=&#20853;&#20020;&#22478;&#19979;&#65306;&#22235;&#27425;&#38271;&#27801;&#20250;&#25112; |website=Huawenku |access-date=20 April 2015}}</inner><close>&lt;/ref&gt;</close></ext>	~40,000	40,000+<ext><name>ref</name><attr> name = 1BC </attr></ext>	Chinese victory	
Battle of South Guangxi	South [[Guangxi]]	15 November 1939 - 30 November 1940	''Military casualties:'',5,600 killed<br/>11,000 injured<br/>800 missing<br/>6,416 other casualties,'''Total: 23,816 military casualties'''<ext><name>ref</name><attr> name="Article 1"</attr><inner>Article: The Battle of Kunlun Pass http://baike.baidu.com/view/160789.htm?fromId=86375</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="Article 2"</attr><inner>Article: The Battle of South Guangxi http://baike.baidu.com/view/641737.htm</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="War Study"</attr><inner>War Study: The Occupation of Nanning and the Failure of Kunlun http://warstudy.com/history/world_war/jp_china/408.xml</inner><close>&lt;/ref&gt;</close></ext>,,''Civilian casualties:'',11,147 killed<ext><name>ref</name><attr> name="Article 2"</attr></ext>,2,161 wounded<ext><name>ref</name><attr> name="Article 2"</attr></ext>,3,986 missing<ext><name>ref</name><attr> name="Article 2"</attr></ext>,'''Total: 17,294 civilian casualties''',45 billion yuan worth of private and public property damage<ext><name>ref</name><attr> name="Article 2"</attr></ext>	4,000+ killed (including 85% of all officers) 4,000+ wounded,100 captured,'''Total: 8,100+ casualties'''<ext><name>ref</name><attr> name="Article 1"</attr></ext><ext><name>ref</name><attr> name="Article 2"</attr></ext><ext><name>ref</name><attr> name="War Study" </attr></ext><ext><name>ref</name><attr> name="Article 3"</attr><inner>Article: NRA 5th Corps http://baike.baidu.com/view/4350887.htm</inner><close>&lt;/ref&gt;</close></ext>	Chinese victory	
Battle of Kunlun Pass	Suburbs of [[Nanning]], [[Guangxi]]	18 December 1939 - 11 January 1940	5,600 killed<br/>11,000 injured<br/>800 missing<br/>6,416 other casualties,'''Total: 23,816 casualties'''<ext><name>ref</name><attr> name="Article 1"</attr></ext><ext><name>ref</name><attr> name="War Study"</attr><inner>[http://warstudy.com/history/world_war/jp_china/408.xml War Study: The Occupation of Nanning and the Failure of Kunlun]</inner><close>&lt;/ref&gt;</close></ext>	4,000+ killed (including 85% of all officers) 4,000+ wounded,100 captured,'''Total: 8,100+ casualties'''<ext><name>ref</name><attr> name="Article 1"</attr></ext><ext><name>ref</name><attr> name="War Study" </attr></ext>	Chinese victory<ext><name>ref</name><attr> name=paine</attr></ext>	
1939-40 Winter Offensive	Vicinities of [[Anhui]], [[Guangdong]], [[Hubei]], [[Henan]], [[Hunan]], [[Jiangxi]], [[Shanxi]], [[Shandong]], [[Suiyuan]]	Late November 1, 1939, to Late March 1940	60,000-70,000 dead, injured or missing<ext><name>ref</name><attr> name="ReferenceA"</attr></ext>	20,000+ killed, 400 captured, 9 transport ships damaged and sunk<ext><name>ref</name><attr> name="ReferenceA"</attr></ext>	Chinese operational failure (due to failure to meet primary goals)<ext><name>ref</name><attr> name="ReferenceA"</attr><inner>{{cite web|url=http://www.chinamil.com.cn/site1/historymil/2004-10/29/content_1143438.htm |title=Archived copy |accessdate=2010-11-29 |deadurl=yes |archiveurl=https://web.archive.org/web/20110707014518/http://www.chinamil.com.cn/site1/historymil/2004-10/29/content_1143438.htm |archivedate=2011-07-07 |df= }} (article about the Winter Offensive)</inner><close>&lt;/ref&gt;</close></ext>*Defeat of Japanese forces in Suiyuan and Henan	
Battle of West Suiyuan	[[Suiyuan]]	1940			Chinese victory	
Battle of Wuyuan	Vicinity of [[Wuyuan County, Inner Mongolia|Wuyuan]] in Western [[Suiyuan]]	March 16 - April 3, 1940			Chinese victory	
Battle of Zaoyang-Yichang	Vicinities of [[Zaoyang]] and [[Yichang]], [[Hubei]]	1 May - 18 June 1940	60,000+ killed and wounded,81 artillery pieces, 727 automatic weapons, 12,557 rifles captured<ext><name>ref</name><attr/><inner>[http://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-179/JM-179.pdf JM-179] pp. 218</inner><close>&lt;/ref&gt;</close></ext>	2,700 killed,7,800 wounded<ext><name>ref</name><attr/><inner>[http://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-179/JM-179.pdf JM-179] pp. 218</inner><close>&lt;/ref&gt;</close></ext>Tens of Thousands(According to Japanese confidential files)<ext><name>ref</name><attr/><inner>JACAR(Japan Center for Asian Historical Records)Ref.C11110494300&#12289;China General Army statistics in January 1941 (containing seven attached charts) . From January 1941(National Institute for Defense Studies)</inner><close>&lt;/ref&gt;</close></ext>	Chinese victory<ext><name>ref</name><attr> name="pu1943"</attr><inner>{{cite book|author=China. Hs&#252;an ch'uan pu|title=China After Five Years of War|url=https://books.google.com/books?id=mpYlAAAAMAAJ|year=1943|publisher=Gollancz|page=62}}</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr/><inner>{{cite book|title=Bulletin of International News|url=https://books.google.com/books?id=7BALAQAAMAAJ|year=1941|publisher=Association for International Understanding|page=1770}}</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr/><inner>{{cite book|title=Philippine Magazine|url=https://books.google.com/books?id=ATPnAAAAMAAJ|year=1940|publisher=Philippine Education Company|page=62}}</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr> name="hidalgojr.1928"</attr><inner>{{cite book|author1=Felix Reburreccion Hidalgo|author2=Charles E. Griffith, jr.|title=Philippine Magazine|url=https://books.google.com/books?id=N4329hVylYoC|year=1928|publisher=Philippine Education Company|page=62}}</inner><close>&lt;/ref&gt;</close></ext>	
Hundred Regiments Offensive	[[North China]]	20 August-5 December 1940	22,000<ext><name>ref</name><attr> name="autogenerated120"</attr><inner>''Chinese-Soviet Relations, 1937&#8211;1945''; Garver, John W.; p. 120.</inner><close>&lt;/ref&gt;</close></ext>	Several record from different sources1. Chinese Communist has two records: the first one is 12,645 killed and wounded, 281 POW. The second record: 20,645 killed and wounded, 281 POW <ext><name>ref</name><attr/><inner>These two records were both based on the same figure but separate to two different records for unknown reason</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr/><inner>&#29579;&#20154;&#24191;&#12298;&#20851;&#20110;&#30334;&#22242;&#22823;&#25112;&#25112;&#32489;&#32479;&#35745;&#30340;&#20381;&#25454;&#38382;&#39064;&#12299;(Wang Renguang &lt;Issue of the basis of result statistics of Hundred Regiments Offensive &gt;),&#12298;&#25239;&#26085;&#25112;&#20105;&#30740;&#31350; (The Journal of Studies of China&#65287;s Resistance War Against Japan ISSN 1002-9575)&#12299;1993 issue 3, p. 243</inner><close>&lt;/ref&gt;</close></ext> 2. Japanese military record: No figure about total casualties, 276 KIAs from 4th Independent Mixed Brigade.<ext><name>ref</name><attr> name="Asagumo Shinbun-sha p. 256"</attr><inner>Senshi Sosho &#25903;&#37027;&#20107;&#22793;&#38520;&#36557;&#20316;&#25126;Shina Jihen Rikugun Sakusen&lt;3&gt;(Volume 88) Asagumo Shinbun-sha, July 1975 ASIN: B000J9D6AS, p. 256</inner><close>&lt;/ref&gt;</close></ext> 133 KIA and 31 MIA from 2nd Independent Mixed Brigade.<ext><name>ref</name><attr/><inner>&#12302;&#21271;&#25903;&#12398;&#27835;&#23433;&#25126;(1)&#12303;ASIN: B000J9E2P6, p. 316</inner><close>&lt;/ref&gt;</close></ext>  3. Western sources: 20,900 Japanese casualties and about 20,000 collaborator casualties<ext><name>ref</name><attr> name="autogenerated120"</attr></ext> 4. Peng's estimate: 30,000 Japanese and collaborators<ext><name>ref</name><attr/><inner>&#24429;&#24503;&#24576;&#33258;&#36848; (The Autobiography of Peng Dehuai) People's Press 1981 ASIN: B00B1TF388  p. 240</inner><close>&lt;/ref&gt;</close></ext>	Chinese victory	
Central Hubei Operation	Central [[Hubei]]	25-30 November 1940	Unknown	Over 5,000 KIA,7,000-8,000 WIA	Chinese victory	
Battle of South Henan	South [[Henan]]	30 January - 1 March 1941	unknown	unknown, Chinese source:  9,000 killed and wounded<ext><name>ref</name><attr> name ="Article"</attr><inner>Baike Baidu Encyclopedia Article: The Battle of South Henan http://baike.baidu.com/view/251289.htm</inner><close>&lt;/ref&gt;</close></ext>	Chinese victory	
Western Hubei Operation	Western [[Hubei]]	March 1941	?	?	Chinese victory	
Battle of Shanggao	[[Shanggao]], [[Jiangxi]]	14 March - 9 April 1941	20,533 <ext><name>ref</name><attr> name=autogenerated1 </attr></ext>	Chinese estimate:,16,000 killed<ext><name>ref</name><attr> name=military</attr><inner>{{Cite web | url=http://military.china.com/zh_cn/dljl/krzz/01/11044207/20081215/15236231_3.html |title=&#24808;&#28872;&#30340;&#19978;&#39640;&#20043;&#25112;&#65306;&#22269;&#20891;&#29579;&#29260;74&#20891;&#30171;&#27516;&#20004;&#19975;&#26085;&#23495;(4) | trans-title=Ferocious Battle at Shanggao| language=zh}}</inner><close>&lt;/ref&gt;</close></ext>,6,000 wounded,'''Total: 22,000 killed and wounded'''<ext><name>ref</name><attr> name=autogenerated1 </attr></ext>,,Japanese estimate: ~5,500 troops<ext><name>ref</name><attr/><inner>{{cite book | author=&#20816;&#23798;&#35140;(Noboru Kojima)| title=&#26085;&#20013;&#25126;&#20105; &#12296;5&#12297;|trans-title="Sino-Japanese War 5"| edition=Paperback | publisher=&#25991;&#34269;&#26149;&#31179; | year=1988| pages=311-312 | isbn=978-4167141332}}{{ja}}</inner><close>&lt;/ref&gt;</close></ext>	Chinese victory,Japanese offensive repelled	
Battle of South Shanxi	South [[Shanxi]]	7-27 May 1941			Japanese victory	
Battle of Changsha (1941)	[[Changsha]]	6 September - 8 October 1941	Unknown<ext><name>ref</name><attr/><inner>Hsu Long-hsuen and Chang Ming-kai, ''History of The Sino-Japanese War (1937&#8211;1945)'', 2nd Ed.,1971. Translated by Wen Ha-hsiung, Chung Wu Publishing; 33, 140th Lane, Tung-hwa Street, Taipei, Taiwan Republic of China.</inner><close>&lt;/ref&gt;</close></ext>	13,000 dead and wounded,(Japanese source)<ext><name>ref</name><attr> name = "&#20013;&#22269;&#24944;&#38666;"</attr><inner>[https://books.google.com/books?hl=zh-CN&amp;id=u2AzAQAAIAAJ&amp;focus=searchwithinvolume&amp;q=%E6%AD%BB%E5%82%B7 &#26032;&#32862;&#35352;&#32773;&#12364;&#35486;&#12426;&#12388;&#12368;&#25126;&#20105; 16 &#20013;&#22269;&#24944;&#38666;] p. 18</inner><close>&lt;/ref&gt;</close></ext>,48,000 killed and wounded,(Chinese source)<ext><name>ref</name><attr/><inner>&#22283;&#38450;&#37096;&#65306;&#25239;&#26085;&#25136;&#21490;</inner><close>&lt;/ref&gt;</close></ext>	Chinese victory	
Battle of Changsha (1942)	[[Changsha]], [[Luo River (Hunan)]]	24 December 1941-15 January 1942	29,217 killed and wounded<ext><name>ref</name><attr/><inner>&#32705;&#37324;&#38525;&#12289;&#21338;&#20961;&#12289;&#24120;&#28982;&#33879;&#65292;&#12298;&#20013;&#22283;&#25239;&#26085;&#25136;&#29229;-&#27683;&#22767;&#23665;&#27827;&#12299;&#65292;&#21488;&#21271;&#24066;&#65306;&#30693;&#20853;&#22530;&#65292;2007&#24180;</inner><close>&lt;/ref&gt;</close></ext>	Japanese source: 1,591 killed,4,412 wounded<ext><name>ref</name><attr/><inner>[http://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-71/JM-71.PDF Japanese Monograph No. 71, Army Operations in China] pp. 76.</inner><close>&lt;/ref&gt;</close></ext>Chinese source: 56,000 killed and wounded<ext><name>ref</name><attr/><inner>&#22283;&#38450;&#37096;&#65306;&#25239;&#26085;&#25136;&#21490;</inner><close>&lt;/ref&gt;</close></ext>	Chinese victory	
Zhejiang-Jiangxi campaign	Vicinity of [[Zhejiang]],   [[Jiangxi]]	Mid May - Early September 1942	70,000	36,000<ext><name>ref</name><attr> name="ww2db.com"</attr><inner>http://ww2db.com/battle_spec.php?battle_id=287</inner><close>&lt;/ref&gt;</close></ext>	Tactical Japanese victory,Strategic Chinese victory	
Battle of West Hubei	West [[Hubei]]	12 May - 3 June 1943	60,000 troops	25,830 troops	Tactical draw,Strategic Chinese victory	
Battle of Changde	[[Changde]] and vicinity	{{Start-date|November 2, 1943|November 2, 1943}}	20,000	More than 11,000 dead and wounded (according to the diary record from [[Shunroku Hata]] who is the field marshal of Imperial Japanese Army)<ext><name>ref</name><attr/><inner>{{cite web|url=http://www.doc88.com/p-745036904.html|title= &#26157;&#21644;&#21313;&#19971;&#12289;&#20843;&#24180;&#30340;&#20013;&#22283;&#27966;&#36963;&#36557;|accessdate=16 September 2016}}</inner><close>&lt;/ref&gt;</close></ext>	Chinese defensive victory<ext><name>ref</name><attr> name="Doc"</attr><inner>{{cite video|title=Documentary about the Battle of Changde|url=https://www.youtube.com/watch?v=JE4hm2A367I|via=You Tube}}</inner><close>&lt;/ref&gt;</close></ext>*Japanese capture the city, but later withdraw in January 1944<ext><name>ref</name><attr> name=H161 </attr></ext>	
Operation Ichi-Go	[[Henan]], [[Hunan]] and [[Guangxi]]	19 April - 31 December 1944<ext><name>ref</name><attr/><inner>Davison, John ''The Pacific War: Day By Day'', pg. 37, 106</inner><close>&lt;/ref&gt;</close></ext>	310,000-700,000 casualties<ext><name>ref</name><attr/><inner>[http://www.dtic.mil/dtic/tr/fulltext/u2/a272727.pdf Cox, 1980 pp. 2] Retrieved 9 March 2016</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr/><inner>Sandler, Stanley. "World War II in the Pacific: an Encyclopedia" p. 431</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr/><inner>[http://www.dtic.mil/dtic/tr/fulltext/u2/a272727.pdf Cox, 1980 pp. 2] Retrieved 9 March 2016</inner><close>&lt;/ref&gt;</close></ext><ext><name>ref</name><attr/><inner>Sandler, Stanley. "World War II in the Pacific: an Encyclopedia" p. 431</inner><close>&lt;/ref&gt;</close></ext>	~100,000 dead<ext><name>ref</name><attr> name="&#20013;&#22269;&#24944;&#38666;"</attr><inner>[https://books.google.com/books?hl=zh-CN&amp;id=u2AzAQAAIAAJ&amp;focus=searchwithinvolume&amp;q=+%E6%88%A6%E6%AD%BB+%E6%88%A6%E7%97%85%E6%AD%BB] &#35352;&#32773;&#12364;&#35486;&#12426;&#12388;&#12368;&#25126;&#20105; 16 &#20013;&#22269;&#24944;&#38666; &#35501;&#22770;&#26032;&#32862;&#31038; (1983/2) P187</inner><close>&lt;/ref&gt;</close></ext>,heavy [[materiel]] losses<ext><name>ref</name><attr/><inner>[http://memim.com/operation-ichi-go.html "Operation Ichi-Go"] Retrieved 16 Nov. 2015</inner><close>&lt;/ref&gt;</close></ext>	Japanese victory	
Battle of Central Henan	[[Henan|Henan Province]]	17 April - 25 May 1944			Japanese victory	
