Side 1,Leaders 1,Strength 1,Casualties 1,Side 2,Leaders 2,Strength 2,Casualties 2
{{flag|United Kingdom}},{{flagicon|Australia}},27000,5989,{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},35000,"12,29674–150 aircraft"
{{flag|United Kingdom}},{{flagicon|UK}},{{HMS|Glengyle|6}},1 killed70 captured,{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},Unknown,1 artillery battery destroyed1 supply dump destroyed
{{flag|United Kingdom}},{{flagicon|UK}},43 CommandosSmall detachment engineers,1 dead4 wounded,{{flagcountry|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},Unknown,"1 ammunition dump and several mortars destroyed.200 dead (Italian claim).ref name=""Schofield""Schofield&lt;/ref&gt;"
{{UK}},{{flagicon|United Kingdom}},3 infantry battalions53 tanks,206+ casualties5 tanks destroyed6 aircraft destroyed,{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},Elements of several battalions30–50 tanks,605+ casualties3 tanks destroyed
{{flag|United Kingdom}},{{flagicon|United Kingdom}},Infantry battalion and supporting arms,173 men12 guns5 Infantry tanks,File:Flag of Germany 1933.svg|23px Nazi Germany,{{flagicon|Germany|Nazi}},''Kampfgruppe von Herff'',
{{UK}},{{flagicon|United Kingdom}},"{{efn|""90 cruisers and roughly 100 'I' tanks""|ref| name=""Playfair171""}}","{{efn|122 killed, 588 wounded and 259 missing|ref| name=""Playfair171""}}",{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},{{citation needed|date|=|June 2012}},"{{efn|93 Germans killed, 350 wounded and 235 missing. Italian casualties are unknown; the British claimed to have captured 350 Italian prisoners during the battle but had to release them during their withdrawal.|ref| name=""Playfair171""}}"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"{{#tag:ref|XXX Corps had 477 tanks available, XIII Corps 135 tanks available and the Tobruk garrison a further 126. 339 of their tanks were various Cruiser tank|cruiser models, with 210 of them being the latest Crusader tank|A15 Crusader. 201 of the total number of tanks were Infantry tanks, the vast majority being Matilda II's. 173 of the total were Stuart tank|M3 Stuarts and the remaining 25 were other various light tanks.|ref| name=""Playfair30""|Playfair, p. 30.||group|=|note}}","{{#tag:ref|2,900 killed, 7,300 wounded and 7,500 missing. Casualties have been rounded by source due to underlying flaws with primary source data but cover all the serious fighting of November, December and the first half of January.|ref| name=""Playfair97""|group|=|note}}",{{flagcountry|Nazi Germany}},{{flagicon|Kingdom of Italy}},"{{#tag:ref|65,000 German soldiers and 54,000 Italian.|ref| name=""Playfair97""|group|=|note}}","{{#tag:ref|14,600 German casualties broken down as follows: 1,100 killed, 3,400 wounded and 10,100 missing. 23,700 Italian casualties broken down as follows: 1,200 killed, 2,700 wounded and 19,800 missing. Casualties have been rounded by source due to underlying flaws with primary source data but cover all the serious fighting of November, December and the first half of January.|ref| name=""Playfair97""|group|=|note}}"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},150 tanks,42–52 tanks21 killed20+ wounded42 missing and prisoners,{{flagicon|Italy|1861}},{{flagicon|Italy|1861}},130 tanks,34 tanks25 killed 74 wounded83 missing
{{flagicon|Italy|1861}},Mario Balotta,"132nd Armoured Division Ariete|132nd Armoured Division ''Ariete'': 9,274 men","Operation Crusader: 5,707",{{flag|New Zealand}},"Bernard Freyberg, 1st Baron Freyberg|Bernard Freyberg","2nd Division (New Zealand)|2nd New Zealand Division: 20,000 men","Operation Crusader: 4,620"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"XXX Corps (United Kingdom)|XXX British Corps -11th Indian Brigade around 3,000 menrefJohn Gooch. ''Decisive campaigns of the Second World War''. Chapter: The North African Campaign&lt;/ref&gt; -7th Armoured Division 14,964 menrefJohn Gooch. ''Decisive campaigns of the Second World War''. Chapter: The North African Campaign&lt;/ref&gt;22nd Guards Brigade  around 3,000 menrefMurphy, W. E. (1961). Fairbrother, Monty C., ed. The Relief of Tobruk. The Official History of New Zealand in the Second World War 1939&#8211;1945 (New Zealand Electronic Text Collection ed.). Wellington, NZ: War History Branch, Department of Internal Affaire, p. 483.&lt;/ref&gt;",300 killed250 wounded71 prisoners12 tanks,{{flagicon|Italy|1861}},{{flagicon|Italy|1861}},"136 Infantry Division Giovani Fascisti|136th ""Giovani Fascisti"" Regiment 1,454 men10 guns2 tanks and 12 tanketteslater reinforced by 3 armoured divisions","60 killed117 wounded31 missing and prisonersrefRoggiero, Roberto: ''El Alamein'', Delta Editrice, 2007 p. 128&lt;/ref&gt;10 tankettes"
{{flagcountry|Nazi Germany}},{{flagicon|Kingdom of Italy}},"90,000 men (50,000 German, 40,000 Italian)560 tanks (228 Italian)542 aircraft","German: 3,360 killed, wounded or capturedItalian: fewer than the Germans~400 tanks damaged or destroyed",{{flag|United Kingdom}},{{flagicon|United Kingdom}},"110,000 men843 tanks604 aircraft","{{circa|32,000}}"
{{flag|Free French Forces}},{{flagicon|Free French}},"3,703 men",141 killed  229 wounded  814 captured 53 guns  50 vehicles  110 aircraft,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"37,000 Axis troops","3,300 killed or wounded  227–845 captured  164 vehicles  49 aircraft"
{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},{{efn|Reported strength on 30 June (55 German and 15 Italian tanks). An unknown number of tanks was also in repair workshops behind the front.}},"10,000 killed or woundedref{{harvnb|Watson|2007|p=6}}&lt;/ref&gt;, 7,000 prisonersref{{harvnb|Barr||p=184}}&lt;/ref&gt;ref name=""CM589""{{harvnb|Mackenzie|1951|p=589}}&lt;/ref&gt;",{{Flag|United Kingdom}},{{flagicon|United Kingdom}},"{{efn|Strength at the frontline on 1 July. 902 tanks in repair workshops behind the front, of which 34 were serviceable and many unrepairable. }}","13,250 casualtiesref name=""CM589"""
{{flag|United Kingdom}},{{flagicon|United Kingdom}},XIII Corps (United Kingdom)|XIII Corps (Eighth Army (United Kingdom)|Eighth Army): 4 divisions,"1,750 killed, wounded or capturedref name=""Watson14""68 tanksref name= ""Watson14""67 aircraftref name=""FR""Buffetaut pp. 90&#8211;91&lt;/ref&gt;",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},Panzer Army Africa:6 divisions,"2,900 killed, wounded or capturedref name=""Watson14""Watson (2007), p. 14&lt;/ref&gt;49 tanksref name=""Watson14""36 aircraft60 gunsref name=""Watson14""400 transport vehiclesref name=""Watson14"""
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{sfn|Buffetaut|1995|p|=|95}},{{circa|500}},{{flag|United Kingdom}},{{flagicon|United Kingdom}},{{sfn|Playfair|2004|p|=|30}},{{circa|500}}
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,
{{flag|United Kingdom}},William Platt,,,{{flagicon|Italy|1861}},Luigi Frusci,,
{{flag|British Empire}},Alfred Reade Godwin-Austen|Reade Godwin-Austen Arthur Reginald Chater|Arthur Chater,"{{efn|According to Wavell the total casualties of the British forces (including Indian and African troops) of 258 amounted to ""...little more than five per cent of the force.""|sfn|Wavell|1946|p|=|2,725| This implies a total force of about 5,000. Molinari's book estimates the British forces at 11,000 but it can normally be assumed that Italian sources are more accurate for Italian forces and British sources for British forces.|sfn|Molinari|2007|p|=|115}}","{{sfn|Wavell|1946|p|=|2,725}}",{{flagicon|Italy|1861}},Guglielmo Nasi Carlo De Simone,{{sfn|Molinari|2007|p|=|115}},{{sfn|Stone|1998|nopp|=|y}}
{{flag|British Empire}},{{flagicon|British Empire}},"5,000 regular and colonial infantry","38 killed 102 wounded120 missing7 aircraft destroyed5 artillery pieces captured5 mortars capturedref name="":0""Stone 1998.&lt;/ref&gt;",{{flagicon|Italy|1861}},{{flagicon|Italy|1861}},"At least 24,000 colonial troops with 5,000 Italian regulars","465 killed1530 wounded34 missingref name="":0""Stone 1998.&lt;/ref&gt;"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},13000,"536 killed and 3,229 wounded",{{flagcountry|Kingdom of Italy}},{{KIA}},23000,"Italian: 3,000 killed and 4,500 woundedEritrean Ascari: 9,000 killed"
{{flag|United Kingdom}},Colin Frederick Blackden,{{circa|100}},Unknown,{{flagicon|Italy|1861}},{{POW}},"2,900 men2 aircraft","1,003 killed (513 Italian and 490 Askari)1,900 prisoners including 804 wounded (404 Italian and 400 Askari)about 100 civilian deadrefAbout 200 wives and relatives of the Ascari colonial soldiers had followed them in Culqualber, and about one hundred of them were killed during the battle and bombing.&lt;/ref&gt;refhttp://www.ilcornodafrica.it/st-melecaculqualber.pdf La battaglia di Culqualber.]&lt;/ref&gt;"
{{flagcountry|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},"41,00070 guns1 aircraft",{{page needed|date|=|November 2017}},{{flag|United Kingdom}},{{flagicon|United Kingdom}},{{sfn|Playfair|2004|p|=|320}},{{sfn|Playfair|2004|p|=|321}}
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"2 battleships, 5 cruisers, 10 destroyers, 1 aircraft carrier","1 battleship crippled, 1 battleship damaged,  2 cruisers damaged, 1 armed trawler sunk, 6 torpedo planes lost",{{flag|Vichy France}},{{flagicon|Vichy France}},"1 battleship, 2 cruisers, 4 destroyers , 3 submarines, coastal emplacements","1 destroyer grounded, 2 submarines sunk, 1 battleship damaged, Danish freighter MS ''Tacoma'' sunkref name=denref name=lise"
{{flagicon|Free French}},{{flagicon|Free French}},,Unknown,{{flagicon|France}},{{KIA}},,"Unknown human losses, 1 aviso destroyed, 1 submarine scuttled"
