Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Dutch East Indies campaign	Dutch East Indies	8 December 1941 – 9 March 1942refDutch military commanders and the Governor-General surrendered on 9 March. (Adrian Vickers, (2005, ''A History Modern of Indonesia'', Cambridge; Cambridge University Press, p. 87.&lt;/ref&gt;	Japanese victory	{{flagicon|Netherlands}}	{{flagicon|UK}}	148,000 troopsrefDoes not include naval personnel&lt;/ref&gt;* 100,000 local troopsref name=chapter10{{cite web|url= http://www.ibiblio.org/hyperwar/AAF/I/AAF-I-10.html |title=Chapter 10: Loss of the Netherlands East Indies |accessdate=31 August 2010|work=The Army Air Forces in World War II: Vol. 1 &#8211; Plans &amp; Early Operations|publisher=HyperWar}}&lt;/ref&gt;* 40,000 Dutch troopsref name=chapter10{{cite web|url= http://www.ibiblio.org/hyperwar/AAF/I/AAF-I-10.html |title=Chapter 10: Loss of the Netherlands East Indies |accessdate=31 August 2010|work=The Army Air Forces in World War II: Vol. 1 &#8211; Plans &amp; Early Operations|publisher=HyperWar}}&lt;/ref&gt;* 8,000 Anglo-American troopsref name="subversionasforeignpolicy"George McTurnan Kahin and Adrian Kahin, ''Subversion as Foreign Policy'', New York: The New Press, 1995 ({{ISBN|1565842448}}), Pp 22&lt;/ref&gt;33 warshipsref name="Morison 1948 pp. 158, 271"Morison (1948), pp. 158, 271&amp;ndash;273, 293 and 311&lt;/ref&gt;41 submarinesref name="submarinewar"{{cite web|url= http://www.dutcheastindies.webs.com/under_sea.html |title=Submarine War in the Dutch East Indies (1941-1942)|accessdate=31 August 2010|date=1999&#8211;2000|work= |publisher=Dutch East Indies Campaign website}}&lt;/ref&gt;234 aircraftref name=chapter10{{cite web|url= http://www.ibiblio.org/hyperwar/AAF/I/AAF-I-10.html |title=Chapter 10: Loss of the Netherlands East Indies |accessdate=31 August 2010|work=The Army Air Forces in World War II: Vol. 1 &#8211; Plans &amp; Early Operations|publisher=HyperWar}}&lt;/ref&gt;	2,384 killed, 100,000+ capturedrefhttp://www.history.army.mil/books/amh-v2/amh%20v2/chapter3.htm "WORLD WAR II: THE DEFENSIVE PHASE"], US Army Center Of Military History, p. 87&lt;/ref&gt;	{{Flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	52 warshipsrefMorison (1948), pp. 274&amp;ndash; 276, 296, 384&lt;/ref&gt;ref name="Morison 1948, pp. 275&#8211;276"Morison (1948), pp. 275&amp;ndash;276&lt;/ref&gt;18 submarinesref name= "submarinewar"107,800 personnel, 193 tanks and tankettes, 2,017 artillery pieces, 5,898 motor vehicles, 11,750 horses609 aircraftrefhttps://openaccess.leidenuniv.nl/bit...pdf?sequence=1 The Invasion of the Dutch East Indies] p. 95, 98, 417. Retrieved 11/21/2017&lt;/ref&gt;	671 killedrefFrancis Pike, https://books.google.com/books?id=2IYQCAAAQBAJ&amp;pg=PA309&amp;dq=surrendered+east+indies+campaign&amp;hl=en&amp;sa=X&amp;ved=0ahUKEwju4OKpgePLAhUOx2MKHaA1CJkQ6AEILTAD#v=onepage&amp;q=surrendered%20east%20indies%20campaign&amp;f=false "Hirohito's War: The Pacific War, 1941-1945"], 2015, p. 309.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Dutch_East_Indies_campaign
Battle of Borneo (1941–42)	Borneo|Borneo Island	16 December 1941 – March 1942	Japanese victory	{{flag|Empire of Japan}}	{{flagdeco|Empire of Japan|army}}	4,500 infantry, 2 heavy cruisers, 1 light cruiser, 6 destroyers, 1 submarine chaser, 1 seaplane tender, 1 minesweeper, 1 submarine, 1 collier, 10 transports	567+ casualties, 2 destroyers sunk, 1 minesweeper sunk, 1 collier sunk, 2 transports sunk, 1 transport beached, 1 transport damaged	{{flag|United Kingdom}}	{{flagdeco|United Kingdom}}	1,000 Sarawak Force1,000 British Punjab Regiment1,000 KNIL650 police5 fighters, Unknown bomber strength, 3 flying boats, 2 submarines	2,300 casualties, 1 flying boat destroyed, 1 submarine sunk	https://en.wikipedia.org/wiki/Battle_of_Borneo_(1941–42)
Battle of Manado	Manado, Northern Celebes island	11–13 January 1942	Japanese victory	File:Flag of the Netherlands.svg|25px Netherlands	{{Flagicon|Netherlands}}	1,500 infantry	140 killed48 captured	{{Flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	2,500 naval infantry500 paratroopers20 aircraft	32 killed32 wounded	https://en.wikipedia.org/wiki/Battle_of_Manado
Battle of Tarakan (1942)	Tarakan Island, northeastern Borneo island	January 11–12, 1942	Japanese victory	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	Over 6,600	255 killed	{{flag|Netherlands}}	{{Flag icon|Netherlands}}	Over 1,300	Unknown number killed in battle. 219 executed after surrendering.,  871 prisoners.	https://en.wikipedia.org/wiki/Battle_of_Tarakan_(1942)
Battle of Balikpapan (1942)	Balikpapan, Borneo	23–24 January 1942	Japanese land victory, Allied tactical naval victory	{{flag|Netherlands}}	{{flagicon|Netherlands}}	'''Land:'''1,100 infantry'''Sea:'''4 destroyers 1 submarine'''Air:'''29 aircraft	'''Land:''', Unknown,  '''Sea:''', 1 destroyer lightly damaged,  1 submarine heavily damaged	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan}}	'''Land:'''5,500 infantry,1,100 naval infantry|sailors'''Sea:'''3 patrol boats,12 transport (ship)|transports	'''Land:''', Unknown,  '''Sea:''', 50+ casualties1 patrol boat sunk,6 transports sunk	https://en.wikipedia.org/wiki/Battle_of_Balikpapan_(1942)
Battle of Ambon	Ambon Island|Ambon, Maluku Islands|Moluccas, Netherlands East Indies	30 January-3 February 1942	Japanese victory	{{flag|Netherlands}}	{{flagicon|Netherlands}}	3,900, 2 aircraft	'''Netherlands:''', Unknown'''Australia:'''15 killed35 wounded'''US:'''Unknown	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	5,300, 10 aircraft	55 killed, 135 wounded	https://en.wikipedia.org/wiki/Battle_of_Ambon
Battle of Makassar Strait	Java Sea, Dutch East Indies	4 February 1942	Japanese victory	{{flag|Netherlands}}	{{flagicon|Netherlands}}	4 cruisers7 destroyers	70 sailors killed, 2 cruisers damaged	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	37–45 planes (Allied estimate)60 land based bombers (Japanese reports)	4+ planes destroyed	https://en.wikipedia.org/wiki/Battle_of_Makassar_Strait
Battle of Palembang	Palembang, southern part of Sumatra island	13–15 February 1942	Japanese victory	{{flag|United Kingdom}}	Air Commodore|Air Cmdr. Henry John Francis Hunter|H. J. F. Hunter (bombers), Air Cmdr. Stanley Flamank Vincent|S. F. Vincent (fighters), Lt. Col. L. N. W. Vogelesang (ground forces)	2,000 infantry  50 aircraft	Allies: ?	{{flagcountry|Empire of Japan}}	Vice Admiral|V. Adm. Jisaburo Ozawa (amphibious forces), Col. Yoshisaburô Tanaka, Col. Seiichi Kume (paratroopers)	3,000 amphibious force,  350 paratroopers, 3 squadrons transports1 bomber group, 2 fighter groups	Japan: ?	https://en.wikipedia.org/wiki/Battle_of_Palembang
Battle of Badung Strait	Badung Strait off Bali in the Dutch East Indies	18–20 February 1942	Japanese victory	{{flag|Netherlands}}	{{flagicon|Netherlands}}	'''Sea:'''3 cruisers,7 destroyers,2 submarines'''Air:'''20 aircraft	Unknown human losses1 destroyer sunk,1 cruiser damaged,1 destroyer damaged	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	4 destroyers,2 Transport (ship)|transports	25 killed,~83 wounded,3 destroyers damaged, 1 transport damaged	https://en.wikipedia.org/wiki/Battle_of_Badung_Strait
Battle of Timor	West Timor|Dutch Timor and Portuguese Timor (present-day East Timor)	19 February 1942 – 10 February 1943	Japanese tactical victoryAllied strategic victory	{{flag|Australia}}	{{flagicon|Australia}}	~ 2,050 strong garrison(peak February 1942)~ 1,000 commandos(peak October 1942)	'''Netherlands:'''~ 300 dead'''Australia:'''151 dead (Sparrow Force)'''Portugal:'''~ 75 dead'''United Kingdom:'''5 dead The Sparrows (Military Unit)|(''The Sparrows'')ref name=ASNCE{{cite web |title=A Short History of East Timor|publisher=Department of Defence|year=2002|url= http://www.defence.gov.au/army/asnce/history.htm|accessdate=3 January 2007|archiveurl= https://web.archive.org/web/20060103133824/http://www.defence.gov.au/army/asnce/history.htm| archivedate=3 January 2006}}&lt;/ref&gt;	{{flagicon|Empire of Japan}}	{{Flagicon|Empire of Japan}}	~ 12,000 (peak late 1942)	~ 4,000 dead (West & East Timor)	https://en.wikipedia.org/wiki/Battle_of_Timor
Battle of the Java Sea	Java Sea	27 February 1942	Decisive Japanese victory	{{flag|Netherlands}}	{{flagicon|NLD}}	2 heavy cruisers3 light cruisers9 destroyers	2 light cruisers sunk3 destroyers sunk1 heavy cruiser damaged, 2,300 sailors killed	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	2 heavy cruisers2 light cruisers14 destroyers, 10 transports	1 destroyer damaged, 36 sailors killed	https://en.wikipedia.org/wiki/Battle_of_the_Java_Sea
Battle of Sunda Strait	Sunda Strait, Netherlands East Indies	28 February – 1 March 1942	Japanese victory	{{flag|United States|1912}}	{{flagicon|UK|naval}}	'''American:'''1 heavy cruiser'''Australian:'''1 light cruiser'''Dutch:'''1 destroyer	1 heavy cruiser sunk1 light cruiser sunk1 destroyer sunk1071 killed675 POWsref name="Order of Battle"{{citation| title = Order of Battle| url = http://www.navweaps.com/index_oob/OOB_WWII_Pacific/OOB_WWII_Sunda_Strait.htm}}&lt;/ref&gt;	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	1 light carrier1 seaplane carrier5 cruisers12 destroyers1 minelayer58 troopships	1 minelayer sunk,4 troopships sunk or grounded,ref name="Order of Battle" 1 cruiser damaged,10 killed,37 woundedref name="ReferenceA"Dull. ''A Battle History of the Imperial Japanese Navy''&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Sunda_Strait
Battle of Java (1942)	Java (island)|Java, Dutch East Indies	28 February – 12 March 1942	Japanese victory	{{flag|Netherlands}}	{{flagicon|Netherlands}}	Netherlands: 25,000; Britain: about 5,500; Australia: about 3,000; U.S.: about 750, , Total: about 34,250 troops	Netherlands: ? Britain: ? Australia: 36 dead, 60 wounded; U.S.: US Army 24 KIA; 534 POWUS Navy 801 KIA; 369 POW. US Navy casualties: USS ''Houston'' and ''Asheville'' Of POWS 164 died (Army & Navy).	{{nowrap|flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	about 34,000 troops	Unknown	https://en.wikipedia.org/wiki/Battle_of_Java_(1942)
Second Battle of the Java Sea	Java Sea	1 March 1942	Japanese victory	{{flagicon|United Kingdom|naval}}	{{flagicon|United Kingdom|naval}}	1 heavy cruiser2 destroyers	1 heavy cruiser sunk2 destroyers sunk, 800 captured	{{flagicon|Japan|naval}}	{{flagicon|Japan|naval}}	4 heavy cruisers5 destroyers	1 destroyer heavily damaged	https://en.wikipedia.org/wiki/Second_Battle_of_the_Java_Sea
Battle of Rabaul (1942)	Rabaul, New BritainTerritory of New Guinea	23 January&nbsp;– February 1942	Japanese victory	{{flag|Australia}}	{{flagicon|Australia}}	1,400 soldiers (New Britain)  130 soldiers (New Ireland)	6 aircrew killed, 5 wounded  28 soldiers killed in action  ~1,000 captured	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	5,000 soldiers (New Britain)  3,000&nbsp;– 4,000 soldiers (New Ireland)	16 killed, 49 wounded	https://en.wikipedia.org/wiki/Battle_of_Rabaul_(1942)
Bombing of Darwin	Darwin, Northern Territory, Australia	19 February 1942	Japanese victory	{{flag|Australia}}	{{nowrap|flagicon|Australia| David Blake (general)|David V. J. Blake}}	31 aircraft18 A/A Guns1 Destroyer1 Seaplane Tender2 Sloops4 Minesweeper/Corvettes4 Boom Defence Vessels9 Merchant ships/Transports1 Hospital Ship23 Auxiliary vessels12 Pearling luggers	236 killedref name="ReferenceA"ref{{cite web|url=http://www.ntlexhibit.nt.gov.au/exhibits/show/bod |title=Northern Territory Library &amp;#124; Summary of Roll of Honour |publisher=Ntlexhibit.nt.gov.au |date=1942-02-19 |accessdate=2014-02-19}}&lt;/ref&gt;, 300–400 wounded30 aircraft destroyedref name="ReferenceA", 11 vessels sunk, 3 vessels grounded25 ships damaged	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|naval}}	242 aircraft4 Aircraft Carriers2 Heavy cruisers1 Light Cruiser7 Destroyers3 Submarines	2 killed ref name="ReferenceB"Takezo Uchikado and Katsuyoshi Tsuru were killed when their Val dive bomber crashed near Darwin. Hajime Toyoshima was taken prisoner when his Zero crashed on Bathurst Island. The Zero of Yoshio Egawa and the Val dive bomber of Takeshi Yamada and Kinji Funazaki, ditched upon returning to the carriers.&lt;/ref&gt;, Hajime Toyoshima|1 POW, 4 aircraft destroyedref name="ReferenceA"	https://en.wikipedia.org/wiki/Bombing_of_Darwin
Attack on Broome	Broome, Western Australia|Broome, Australia	3 March 1942	Japanese victory	{{flag|Australia}}	{{flagicon|Australia}}	22 aircraft	88 killed (official toll)22 aircraft destroyed	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan}}	10 aircraft	1 killed (official toll)2 aircraft destroyed	https://en.wikipedia.org/wiki/Attack_on_Broome
Attack on Sydney Harbour	Sydney Harbour, Sydney, New South Wales, Australia	31 May – 8 June 1942	Indecisive	{{flag|Australia}}	Gerard Muirhead-Gould	2 heavy cruisers,1 light cruiser,2 armed merchant cruisers,2 destroyers,3 corvettes,1 submarine,2 anti-submarine vessels,6 channel patrol boats	1 depot ship sunk,21 killed,10 woundedref{{cite web|last=Nichols|first=Robert|title=Sydney Under Attack: Japanese Midget Submarine 31 May &#8211; 1 June 1942 |url=http://www.awm.gov.au/atwar/remembering1942/midget_submarine/transcript.asp |work=Remembering 1942 |publisher=Australian War Memorial |accessdate=9 February 2014 |date=31 May 2002}}&lt;/ref&gt;	{{flagcountry|Empire of Japan}}	Hankyu Sasaki	5 fleet submarines,3 midget submarines,2 seaplanes	2 midget submarines sunk,1 midget submarine scuttled,2 spotter planes lost,6 killed	https://en.wikipedia.org/wiki/Attack_on_Sydney_Harbour
Raid on Darwin (2 May 1943)	Darwin, Northern Territory	2 May 1943	Indecisive	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan}}	27 Mitsubishi A6M Zero|Zero fighters, 25 bombers	6-10 aircraft destroyed, 8 aircraft damaged	{{flag|Australia}}	{{flagicon|Australia}}	33 Spitfire fighters, Darwin anti-aircraft guns	2 pilots killed, 1 soldier killed, 14 Spitfires destroyed or damaged, Minor damage to buildings	https://en.wikipedia.org/wiki/Raid_on_Darwin_(2_May_1943)
Invasion of Salamaua–Lae	Salamaua–Lae area, Morobe Province, Territory of New Guinea	8–13 March 1942	Japanese forces successfully occupied Salamaua–Lae	{{flag|Australia}}	Wilson Brown (admiral)|Wilson Brown	2 aircraft carriers104 aircraft	1 aircraft destroyed, 11 aircraft damaged,  2 killed	{{flagcountry|Empire of Japan}}	Shigeyoshi Inoue	4 heavy cruiser2 light cruiser8 destroyers1 minesweeper1 minelayer4 transport ships	{{sfn|Lundstrom|2005|p|=| 131}}	https://en.wikipedia.org/wiki/Invasion_of_Salamaua–Lae
