Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Battle of Jitra	Jitra, British Malaya|Malaya	11–13 December 1941	Japanese victory	{{flagicon|India|British}}	{{flagicon|United Kingdom}}			{{flagicon|Japan}}	{{flagicon|Japan}}			https://en.wikipedia.org/wiki/Battle_of_Jitra
Battle of Kampar	Kampar, Perak|Kampar, British Malaya|Malaya	30 December 1941&nbsp;– 2 January 1942	Tactical Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	1,300 infantryref name="The Forgotten Heroes of the British Battalion"{{cite web|url=http://www.nmbva.co.uk/remembering_the_battle_of_kampar.htm|title=Remembering the Battle of Kampar|last=Ken|first=Orrill|accessdate=5 April 2009 |archiveurl=https://web.archive.org/web/20080628061645/http://www.nmbva.co.uk/remembering_the_battle_of_kampar.htm |archivedate=28 June 2008}}&lt;/ref&gt;	150 killed, (Japanese estimate)	{{flagcountry|Empire of Japan}}	{{flagicon|Japan}}	9,000 infantry, 200 tanks, 100 artillery pieces	500 killed, (Japanese estimate)	https://en.wikipedia.org/wiki/Battle_of_Kampar
Battle of Slim River	Slim River, British Malaya	6–8 January 1942	Japanese victory	{{flagicon|India|British}}	{{flagicon|United Kingdom}}		500 killed3,200 capturedref name="Warren" (Japanese estimate)	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan}}		17 killed60 woundedref name="Warren" (Japanese estimate)	https://en.wikipedia.org/wiki/Battle_of_Slim_River
Battle of Muar	Muar (district)|Muar, British Malaya|Malaya	14–22 January 1942	Japanese victory, Parit Sulong massacre	{{flag|Australia}}	{{flagicon|Australia}}	4,000 infantry, 60 aircraft	{{#tag:ref|See Parit Sulong massacre|group|=|info}}	{{flagcountry|Empire of Japan}}	{{KIA}}	8,000 infantry, 400 aircraft	{{#tag:ref|"The enemy losses in the Muar area were a company of tanks and the equivalent of a battalion of men."|ref| name="Wigmore 1957, p. 249"|Wigmore 1957, p. 249.||group|=|Note}}	https://en.wikipedia.org/wiki/Battle_of_Muar
Battle of Gemas	Gemencheh|Sungei Gemencheh, British Malaya|Malaya	14 January 1942	Tactical Australian victory	{{flag|Australia}}	Frederick Galleghan	1 battalion	81 casualties	{{flagcountry|Empire of Japan}}	Mukaide|Col. Mukaide	1 column	1,000 casualties totalref name=Coulthard197 , 70 killed, 57 wounded during the initial ambushrefAllen Warren, ''Singapore'', quoting the IJA 5th brigade's war diary (belonging to the Mukaide detachment){{page needed|date=November 2015}}&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Gemas
Battle off Endau	off Endau, British Malaya|Malaya	26–27 January 1942	Japanese victory	{{flagcountry|Empire of Japan}}	Shintarō Hashimoto	1 light cruiser, 6 destroyers, 5 minesweepers3 subchasers4 converted patrol ships, 2 troopships2 auxiliary ships	8 killed, 18 wounded	{{flag|United Kingdom}}	{{flagicon|Australia}}	2 destroyers	1 destroyer sunk, 39 killed, 33 captured	https://en.wikipedia.org/wiki/Battle_off_Endau
Bombing of Bangkok in World War II	Bangkok	1941–1945		{{flag|United States|1912}}				{{flag|Thailand}}				https://en.wikipedia.org/wiki/Bombing_of_Bangkok_in_World_War_II
Japanese conquest of Burma	Burma	January – May 1942	Axis victory* End of British rule in Burma* Establishment of the State of Burma	{{flag|British Empire}}	{{unbulleted list |flagicon|United Kingdom| Archibald Wavell, 1st Earl Wavell|Archibald Wavell |flagicon|United Kingdom| Thomas Hutton |flagicon|United Kingdom| Harold Alexander, 1st Earl Alexander of Tunis|Harold Alexander |flagicon|Republic of China (1912–49)| Luo Zhuoying }}	{{flagicon|Republic of China (1912–49)}}	{{unbulleted list |flagicon|Republic of China (1912–49)| 40,000 killed, captured, or missing|ref| name=hwar_burma|ref| name=Bradford221|ref|McLynn, ''The Burma Campaign: Disaster into Triumph, 1942–1945'', pg. 67.||, 95 aircraft (American Volunteer Group|AVG)|ref|http://www.afhso.af.mil/shared/media/document/AFD-101028-007.pdf Air Force Sixtieth Anniversary Commemorative Edition: The Flying Tigers pp. 33] Retrieved 20 March 2016|| |flagicon|United Kingdom| 1,499 killed|ref| name=Allen638|Allen (1984), p.638||, 11,964 wounded|ref| name=Allen638|, 30,000 total casualties|ref|{{cite book| last=Beevor| first=Antony| authorlink=Antony Beevor| title=The Second World War| url=https://books.google.com/books?id=XS8xlDaZVJMC&pg=PT309&lpg=PT309&dq=30,000+casualties+japanese+conquest+of+Burma&source=bl&ots=uSIELXbNz_&sig=eWAfvFGvHSBe1kHxuhj055wkvg0&hl=en&sa=X&ved=0ahUKEwiVm9ua4tXLAhUQ4WMKHR0HCaMQ6AEIUDAI#v=onepage&q=30%2C000%20casualties%20japanese%20conquest%20of%20Burma&f=false| publisher=Weidenfeld & Nicolson| year=2012| chapter=16}}{{page needed|date=March 2016}}||ref|{{cite book| last=Tucker| first=Spencer C.| url=https://books.google.com/books?id=HtEcBQAAQBAJ&pg=PA122&lpg=PA122&dq=30,000+casualties+burma&source=bl&ots=ipvIE9-L0c&sig=iZhvvOhyidwLeXa8nuLwlQWFXzo&hl=en&sa=X&ved=0ahUKEwio09Hl_eLLAhUGLmMKHQaCBq4Q6AEIHTAA#v=onepage&q=30%2C000%20casualties%20burma&f=false| title=The Second World War| year=2003| page=122}}(includes 15,000 missing)||, 116 aircraft (RAF)|ref| name=hwar_burma|http://www.historyofwar.org/articles/campaign_burma_japanese.html Japanese conquest of Burma, December 1941 – May 1942] Retrieved 20 March 2016||, ~100 tanks|ref|Zaloga, Steven. "M3 and M5 Stuart Light Tank 1940–45". Osprey Publishing, Nov 18, 1999. Page 14. According to Zaloga, all but one tank of the two regiments of the 7th Armoured Brigade had been lost.|| }}	{{flagcountry|Empire of Japan}}	{{unbulleted list|flagicon|Empire of Japan| Shojiro Iida|flagicon|Thailand| Jarun Rattanakun Seriroengrit|J.R. Seriroengrit|flagicon|Thailand| Phin Choonhavan|flagicon|Burma|1943| Aung San }}	{{flagicon|Empire of Japan}}	{{unbulleted list |flagicon|Empire of Japan| 4,597 killed and wounded|ref| name=hwar_burma|, 117 aircraft|ref|Black, Jeremy. ''Air Power: A Global History'' pp. 108|| }}	https://en.wikipedia.org/wiki/Japanese_conquest_of_Burma
Battle of Bilin River	Burma	14–18 February 1942	Tactical Japanese victory	{{flagicon|UK}}	{{flagicon|UK}}	One division		{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	Two divisions		https://en.wikipedia.org/wiki/Battle_of_Bilin_River
Battle of Sittang Bridge	Burma	19–23 February 1942	Decisive Japanese victory	{{flagicon|UK}}	{{flagicon|UK}}	One understrength division		{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	Two regiments		https://en.wikipedia.org/wiki/Battle_of_Sittang_Bridge
Battle of Pegu	Burma	3&ndash;7 March 1942	Inconclusive	{{flagicon|UK}}	{{flagicon|UK}}	One armoured brigade		{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	Two divisions		https://en.wikipedia.org/wiki/Battle_of_Pegu
Taukkyan Roadblock	Taukkyan, Burma	7&ndash;8 March 1942	Allied victory, Japanese withdrawalrefMarston, p. 69&lt;/ref&gt;	{{flagicon|UK}}				{{flagcountry|Empire of Japan}}				https://en.wikipedia.org/wiki/Taukkyan_Roadblock
Battle of Yunnan-Burma Road	Burma	March–June 1942	Axis Powers|Axis victory&lt;!-------Axis-------&gt;	{{bigger|'''Axis Powers|Axis:'''}}	{{flagicon|Empire of Japan|army}}	35,000	33rd Division (Imperial Japanese Army)|33rd, 55th Division (Imperial Japanese Army)|55th, 56th Division (Imperial Japanese Army)|56th divisionsrefhttp://www.hudong.com/wiki/%E6%BB%87%E6%B9%8E%E8%B7%AF%E6%88%98%E5%BD%B9&lt;/ref&gt;	{{bigger|'''Allies of World War II|Allies:'''}}	{{flagicon|Republic of China (1912-49)|army}}	95,000	50,000	https://en.wikipedia.org/wiki/Battle_of_Yunnan-Burma_Road
Battle of Toungoo	Toungoo, Burma	March 19-March 29, 1942	Japanese tactical victory, Successful Chinese retreat	{{flag|Republic of China (1912-49)|name|=|Republic of China}}	{{flagicon|Republic of China (1912-49)|army}}	one division, 8000	2,000	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	two divisions and support from the Burma National Army	5,000	https://en.wikipedia.org/wiki/Battle_of_Toungoo
Battle of Yenangyaung	Yenangyaung, Burma	11–19 April 1942	Allies of World War II|Allied victory	{{flagicon|Republic of China (1912–49)|23px}}	{{flagicon|Republic of China (1912–49)|army|23px}}	8,000	204 killed, 318 wounded, 20 missing	{{flagcountry|Empire of Japan|23px}}	{{flagicon|Empire of Japan|army|23px}}	7,000	~700 killed	https://en.wikipedia.org/wiki/Battle_of_Yenangyaung
Battle of Singapore	Singapore in the Straits Settlements|Singapore, Straits Settlements	8–15 February 1942	Japanese victoryJapanese occupation of Singapore	{{flag|United Kingdom}}	{{Flagdeco|United Kingdom}}	{{refn|On Singapore, the Japanese captured 300 field guns, 180 mortars, 100 anti-aircraft guns, 54 fortress guns, and 108 1-pounder guns, as well as 200 armoured vehicles (Universal Carriers and armoured cars) and 1,800 trucks.|sfn|Allen |2013| pp|=| 300–301|group|=|Note}}	~5,000 killed or wounded80,000 captured	{{Flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	{{sfn|Allen|2013|p|=|169}}	1,714 killed3,378 wounded	https://en.wikipedia.org/wiki/Battle_of_Singapore
Battle of Sarimbun Beach	Western Water Catchment|Sarimbun Beach, Singapore, Straits Settlements	8–9 February 1942	Empire of Japan|Japanese victory	{{flagicon|Australia}}	{{flagicon|Australia}}	~3,000		{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan}}	~10,000		https://en.wikipedia.org/wiki/Battle_of_Sarimbun_Beach
Battle of Kranji	Kranji, Singapore, Straits Settlements	9–10 February 1942	Empire of Japan|Japanese victory	{{Flagicon|Australia}}	{{Flagicon|Australia}}	~2,000refAn estimate figure of the Allied troops during the Battle of Kranji only.&lt;/ref&gt;		{{Flagicon|Empire of Japan}}	{{Flagicon|Empire of Japan|army}}	~10,000refAn estimate figure as Yamashita had just over 30,000 men from three Divisions: the Imperial Guards Division, the 5th Division and the 18th Division. The elite Imperial Guard units included a light tank brigade.&lt;/ref&gt;		https://en.wikipedia.org/wiki/Battle_of_Kranji
Battle of Bukit Timah	Bukit Batok, Bukit Panjang and Bukit Timah, Singapore	10&ndash;12 February 1942	Japanese victory	{{flag|British Empire}}	{{flagicon|UK}}			{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan}}			https://en.wikipedia.org/wiki/Battle_of_Bukit_Timah
Battle of Pasir Panjang	Pasir Panjang, Singapore	12–15 February 1942	Japanese victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom|23px}}	1,400 infantry	159 killed	{{flagcountry|Empire of Japan|23px}}	{{flagicon|Empire of Japan|23px}}	13,000 infantry	Unknown	https://en.wikipedia.org/wiki/Battle_of_Pasir_Panjang
Burma Campaign	British rule in Burma|British Burma	January 1942 – July 1945	Allied victory	{{flag|British Empire}}	{{plainlist|* |flagicon|UK| Archibald Wavell, 1st Earl Wavell|Archibald Wavell* |flagicon|United Kingdom| Louis Mountbatten, 1st Earl Mountbatten of Burma|Louis Mountbatten* |flagicon|United Kingdom| William Slim, 1st Viscount Slim|William Slim* |flagicon|Republic of China (1912–49)| Du Yuming|flagicon|Republic of China (1912–49)| Wei Lihuang|flagicon|Republic of China (1912–49)| Luo Zhuoying|flagicon|United States|1912| Joseph Stilwell* |flagicon|Burma|1937| Aung San (1944–1945)}}	{{plainlist|'''1942–1943'''* |flagicon|Republic of China (1912–49)| 95,000 (1942);|ref| group=lower-roman name=CEF|* |flagicon|United Kingdom|flagicon|British Raj| 42,000–47,000 (1942)|ref| name=EWAR1733|>http://www.fofweb.com/History/MainPrintPage.asp?iPin=EWAR1733&DataType=WorldHistory&WinType=Free Facts on File: World War II in the China-Burma-India theater] Retrieved 20 March 2016||'''1944–1945'''* |flagicon|United Kingdom|flagicon|British Raj| 1,000,000 (1945)|ref| group=lower-roman name=IN|ref| name="ReferenceA"|Ellis, John, World War II: A Statistical Survey: The Essential Facts and Figures for All the Combatants, 1993||* |flagicon|Republic of China (1912–49)| 250,000 (1944)|ref| group=lower-roman name=XY|ref| name="中国抗日战争正面战场作战记"|{{cite book|url=http://book.newdu.com/pbs/Print.asp?ArticleID=11831&Page=459|title=中国抗日战争正面战场作战记|publisher=|language=Chinese|pages=460–461|accessdate=28 December 2015}}||ref| name="Chinese source about Burma Campaign"|《中缅印战场抗日战争史》，徐康明 著，解放军出版社，2007年||ref|http://m.qulishi.com/huati/yuanzhengjunrumian/ 远征军入缅作战简介_远征军入缅作战的时间死亡人数_远征军入缅作战的意义结果损失 - 趣历史 - 趣历史]||* |flagicon|United States|1912| 12,000|ref|McLynn, p. 1||ref| group=lower-roman name=MD||notes |=| |notelist|}}	{{flagicon|Republic of China (1912–49)}}	{{flagicon|Empire of Japan}}	{{plainlist|* |flagicon|Empire of Japan|army| Shojiro Iida* |flagicon|Empire of Japan|army| Masakazu Kawabe* |flagicon|Empire of Japan|army| Hyotaro Kimura* |flagicon|Empire of Japan|army| Renya Mutaguchi* |flagicon|Burma|1943| Aung San (1942–1944)* |flagicon|India|1931| Subhas Chandra Bose|Subhas C. Bose* |flagicon|Thailand| Plaek Phibunsongkhram|P. Phibunsongkhram* |flagicon|Thailand| Jarun Rattanakun Seriroengrit|J.R. Seriroengrit}}	{{plainlist|* |flagicon|Empire of Japan| 316,700 (1944)|ref|Allen, ''Burma: The Longest War'', p.662||* |flagicon|Thailand| 75,000* |flagicon|India|1931| 43,000 (1945)}}	{{flagicon|Empire of Japan}}	https://en.wikipedia.org/wiki/Burma_Campaign
Arakan Campaign 1942–43	Rakhine State|Arakan, western Myanmar|Burma	December 1942 – May 1943	Japanese victory	{{flag|United Kingdom}}	Noel IrwinWilliam Slim, 1st Viscount Slim|William Slim	4 brigades''rising to '' 9 brigades	916 killed4,141 wounded and missingref name=Allen638Allen (1984), p.638&lt;/ref&gt;	{{flagcountry|Empire of Japan}}	Kosuke MiyawakiTakeshi Koga	1 regiment''rising to '' 1 Division	611 killed1,165 wounded (estimated)refOfficial Japanese figures in Allen (1984), p.113&lt;/ref&gt;	https://en.wikipedia.org/wiki/Arakan_Campaign_1942–43
Burma Campaign 1944	State of BurmaAssam, British Raj|British IndiaYunnan, Republic of China (1912–49)|Republic of China	January – November 1944	Allied victory	{{flagicon|United Kingdom}}	{{flagicon|United Kingdom}}		29,324 (British Commonwealth)	{{flagcountry|Empire of Japan}}	{{flagicon|Empire of Japan}}		71,289 (Japanese)refnot counting casualties fighting against Chinese / American forces&lt;/ref&gt;	https://en.wikipedia.org/wiki/Burma_Campaign_1944
Battle of the Admin Box	Rakhine State|Arakan, Burma	5–23 February 1944	Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	'''at start:''', 2 infantry divisions, 1 armoured regiment, '''reinforcements:''', 2 infantry divisions	3,506 totalref name=Moreman122Moreman, p.122&lt;/ref&gt;, 3 Fighter aircraftref name=Allen178Allen, p.178&lt;/ref&gt;	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan}}	1 infantry division	3,106 killed, 2,229 woundedref name=Allen638Allen, p.638&lt;/ref&gt;,  65 Fighter aircraftref name=Allen178	https://en.wikipedia.org/wiki/Battle_of_the_Admin_Box
Siege of Myitkyina	Myitkyina, Burma	17 May – 3 August 1944refJaques, Tony (2007) Dictionary of Battles and Sieges: F-O https://books.google.com/books?id=Dh6jydKXikoC&amp;pg=PA700&amp;lpg=PA700&amp;dq=Mizukami+Genzu&amp;source=bl&amp;ots=nJBawMu4I9&amp;sig=cNDSQCa9ocRqZImkA1fCXPL6ScQ&amp;hl=en&amp;sa=X&amp;ei=3xLPVPagOJD8sATY_ILYAw&amp;ved=0CCUQ6AEwAQ#v=onepage&amp;q=Mizukami%20Genzu&amp;f=false (p.700)]&lt;/ref&gt;	Allied victory	{{flag|Republic of China (1912–1949)|name|=|China}}	{{flagicon|Republic of China (1912–49)|army}}	Chinese Expeditionary Force, Northern Combat Area Command	'''Chinese'''refhttp://www.ibiblio.org/hyperwar/USA/USA-CBI-Command/USA-CBI-Command-6.html China-Buma-India Command]&lt;/ref&gt;, 972 killed, 3184 wounded, 188 invalid, '''U.S.''', 272 killed, 955 wounded, 980 invalid	{{flag|Empire of Japan|name|=|Japan}}	{{flagicon|Empire of Japan|army}}	Garrison from 56th Division (Imperial Japanese Army)|56th division (3,000)	2,400 killed or capturedrefhttp://www.ibiblio.org/hyperwar/USA/USA-CBI-Command/USA-CBI-Command-6.html China-Buma-India Command], page 253; only about 600 men of the garrison escaped.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Siege_of_Myitkyina
Operation U-Go	Manipur, British Raj|British India	March 1944–June 1944	Decisive British Empire victory	{{flag|British Empire}}	{{flagicon|United Kingdom}}	7 infantry divisions, 1 tank brigade, 2 infantry brigades	16,987-21,500ref name="Allen643"Allen (1984), p.643&lt;/ref&gt;ref name="Allen638"Allen (1984), p. 638&lt;/ref&gt;	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan|army}}	5 infantry divisions, 1 tank regiment, 84,280 men (excluding INA)	'''15th, 31st, and 33rd Divisions:''', 12,443 killed, 1,652 missing in action, 8,407 dead from disease, '''Misc. Army Troops:''', 8,000 dead from all causes, '''Total:''', 30,502 dead,, 23,003 hospitalizedrefhttp://ibiblio.org/hyperwar/Japan/Monos/pdfs/JM-134/JM-134.pdf JM-134] pp. 164 Retrieved 5/19/16&lt;/ref&gt;	https://en.wikipedia.org/wiki/Operation_U-Go
Battle of Imphal	Imphal, Manipur, India	8 March – 3 July 1944	Decisive Allied victory	{{flagicon|UK}}	{{flagicon|United Kingdom}}	4 Infantry Divisions, 1 Armoured Brigade, 1 Parachute Brigade	12,603 killed and woundedref name="Allen638"Louis Allen, ''Burma: The Longest War'', p. 638&lt;/ref&gt;	{{flag|Empire of Japan}}	{{flagicon|Empire of Japan}}	3 Infantry Divisions, 1 Tank Regiment	54,879 killed and woundedref name="Allen638"	https://en.wikipedia.org/wiki/Battle_of_Imphal
Battle of Sangshak	{{convert|8|mi|km}}	March 20–26, 1944	Tactical Japanese victory, Strategic British victory	{{flagicon|India|British}}	Maxwell Hope-Thompson	approx. 1 infantry brigade	652	{{flagicon|Empire of Japan}}	:ja:宮崎繁三郎|Shigesaburo Miyazaki	approx. 1+ infantry regiment, elements of two regiments	400+	https://en.wikipedia.org/wiki/Battle_of_Sangshak
Battle of Kohima	Kohima, Nagaland, British Raj|British India	4 April&nbsp;– 22 June 1944	Decisive Allies of World War II|Allied victory	{{flagicon|United Kingdom}}	{{flagicon|United Kingdom}}	''at start:'', approx. 1 Infantry Brigade 1500 men fit for duty, ''at end:'', 2 Infantry Divisions, 1 "Chindit" Brigade, 1 Motor Brigade	4,064ref name=Allen643Allen 2000, p. 643.&lt;/ref&gt;	{{flagicon|Empire of Japan}}	{{flagicon|Empire of Japan}}	1 Infantry Division: 12,000–15,000 ref name=Allen228Allen 2000, p. 228.&lt;/ref&gt;	5,764–7,000ref name=Allen643	https://en.wikipedia.org/wiki/Battle_of_Kohima
