CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
41583426,LA SABROSURA,QUEENS,3320,30 AVENUE,11103,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,72,
40553257,ACAPULCO DELI & RESTAURANT,BROOKLYN,1116,MANHATTAN AVENUE,11222,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,
41193088,MOJITO'S,MANHATTAN,227,EAST  116 STREET,10029,Mexican,Establishment re-closed by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,
41274441,THE CREEK AND THE CAVE,QUEENS,1093,JACKSON AVENUE,11101,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,37,
50033122,PARTY WELL REST & ORIENTAL BAKERY,QUEENS,14932,41ST AVE,11355,Korean,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,
41704189,SALVO'S,MANHATTAN,1477,YORK AVENUE,10075,Pizza/Italian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,90,
41390570,18 BAKERY,BROOKLYN,6820,18 AVENUE,11204,Bakery,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,44,
41646934,BELLA'S PLACE,QUEENS,8777,SUTPHIN BLVD,11435,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,54,
50002616,EL VALLE COCINA RESTAURANT,BRONX,3535,JEROME AVENUE,10467,Spanish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,50,
41377624,HERO FACTORY,BRONX,904,EAST  149 STREET,10455,Sandwiches,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35,
41646824,"IRIS TEA & BAKERY, QUICKLY",QUEENS,3907,PRINCE ST,11354,Bakery,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,53,
50011330,NEW GARDEN,BRONX,1535,WESTCHESTER AVE,10472,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,42,
50063475,N RICO CAFE,BRONX,801,SOUTHERN BLVD,10459,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,86,
50018573,TURCO,MANHATTAN,604,9TH AVE,10036,Middle Eastern,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,40,
50058785,AMAZE FUSION & LOUNGE,MANHATTAN,694,3RD AVE,10017,Asian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,38,
50032737,KAM'S KITCHEN,QUEENS,21709,LINDEN BLVD,11411,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,50,
50045602,POLKA DOT,BROOKLYN,726,MANHATTAN AVE,11222,Polish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,61,
41226130,TACOS MATAMOROS RESTAURANT,BROOKLYN,4508,5 AVENUE,11220,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,49,
50041083,TENZAN 89,MANHATTAN,1714,2ND AVE,10128,Japanese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,18,
41560644,GOODFELLA'S PIZZERIA,STATEN ISLAND,1718,HYLAN BOULEVARD,10305,Italian,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,
40554349,LA FAMILIA RESTAURANT,BROOKLYN,938,4 AVENUE,11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,49,
41603722,KING BAKERY,MANHATTAN,90,EAST BROADWAY,10002,Bakery,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,56,
50046937,B&S COFFEE SHOP,QUEENS,2106,36TH AVE,11106,Caf̩/Coffee/Tea,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,54,
50016658,NY PIZZA GRILL & CAFE,QUEENS,9114,SUTPHIN BLVD,11435,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,77,
50061387,FAMILY ALTAGRACIA CARIBBEAN CUISINE,BROOKLYN,5601,CLARENDON RD,11203,Asian,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,Not Yet Graded
41007054,PINE RESTAURANT,QUEENS,3710,114 STREET,11368,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,25,
41652187,GOLDEN CORNER NOODLES,QUEENS,4215,COLLEGE POINT BOULEVARD,11355,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,78,
40849313,PEACOCK RESTAURANT,BRONX,70,WEST  183 STREET,10453,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,45,
41711029,MY FAMILY PIZZA,STATEN ISLAND,340,VICTORY BOULEVARD,10301,Pizza,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,
41579300,METATE MEXICAN RESTAURANT,BRONX,3515,JOHNSON AVENUE,10463,Mexican,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,49,
41331494,PITA PAN,QUEENS,3715,30 AVENUE,11103,Greek,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,41,
50005654,ALLERTON DINER,BRONX,772,ALLERTON AVE,10467,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,50,
41644384,WASABI RESTAURANT,BROOKLYN,7222,18 AVENUE,11204,Japanese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,42,
50005789,KASHMIR,MANHATTAN,478,9TH AVE,10018,Middle Eastern,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,49,
50035038,DIVIERA DRIVE,BROOKLYN,131,BERRY ST,11249,Italian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,47,
40944982,NEW GOOD TASTE CHINESE RESTAURANT,MANHATTAN,3371,BROADWAY,10031,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,58,
50043752,2 BROS PIZZA/JUICE SHOP,MANHATTAN,113,E 125TH ST,10035,Salads,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,40,
41708433,CHINA WOK II,QUEENS,10315,101 AVENUE,11416,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,44,
50004861,MIN JIANG MINI CAFE,MANHATTAN,67,ELDRIDGE ST,10002,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,42,
50038218,COFFEE SHOP ON 8TH AVE,BROOKLYN,5408,8TH AVE,11220,Bakery,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,54,
41710693,JAVA DAY CAFE,QUEENS,16009,NORTHERN BOULEVARD,11358,Caf̩/Coffee/Tea,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33,
50044917,GOLDEN PHOENIX CHINESE RESTAURANT,BRONX,5646,RIVERDALE AVE,10471,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",Critical,61,
50042767,DHAKA RESTAURANT,QUEENS,16832,HILLSIDE AVE,11432,Indian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,51,
41466837,IL FORNO OF BROOKLYN,STATEN ISLAND,6382,AMBOY ROAD,10309,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,51,
41171296,KIIN THAI EATERY,MANHATTAN,36,EAST    8 STREET,10003,Thai,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,58,
41304510,PINE COURT CHINESE BISTRO,QUEENS,24932,HORACE HARDING EXPRESSWAY,11362,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,47,
41310578,EASTEND BAR & GRILL,MANHATTAN,1664,1 AVENUE,10028,American,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,
41078266,HAPPY KARAOKE,QUEENS,16030,NORTHERN BOULEVARD,11358,Korean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,43,
41372739,MADE FRESH DAILY,MANHATTAN,226,FRONT STREET,10038,Caf̩/Coffee/Tea,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,7,
50015159,AKAMI SUSHI,MANHATTAN,1771,1ST AVE,10128,Japanese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,37,
41304090,URBAN RUSTIC,BROOKLYN,236,NORTH   12 STREET,11211,American,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,
41704354,EAST PACIFIC PAN ASIAN BISTRO,MANHATTAN,120,EAST   34 STREET,10016,Asian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,63,
50067930,"Bagels By Day, Tacos By Night",STATEN ISLAND,570,BAY STREET,10304,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,63,Not Yet Graded
50014840,HUA JI PORK CHOP FAST FOOD,MANHATTAN,7,ALLEN ST,10002,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",Critical,71,
41014056,REYES RESTAURANT,QUEENS,4754,46 STREET,11377,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10,
50037060,LA CASA DEL SABOR,BRONX,2728,E TREMONT AVE,10461,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,36,
41315168,MI ESTRELLA RESTAURANT,QUEENS,8819,ROOSEVELT AVENUE,11372,Chinese/Cuban,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,51,
40944982,NEW GOOD TASTE CHINESE RESTAURANT,MANHATTAN,3371,BROADWAY,10031,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,58,
50017902,CARIBBEAN DELIGHTS,QUEENS,21521,JAMAICA AVE,11428,Caribbean,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,67,
50045741,KENNEDY FRIED CHICKEN,BRONX,952,LONGWOOD AVE,10459,Chicken,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,37,
41630109,GOLAN HEIGHTS,MANHATTAN,2553,AMSTERDAM AVENUE,10033,Jewish/Kosher,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,68,
50006789,BED-STUY FISH FRY,BROOKLYN,940,FULTON ST,11238,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,74,
40829831,KO-SUSHI JAPANESE RESTAURANT,MANHATTAN,1619,YORK AVENUE,10028,Japanese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,62,
41450085,VINNY VINCENZ,MANHATTAN,231,1 AVENUE,10003,Pizza,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,60,
50063518,ASIAN YUMMY HOUSE,BROOKLYN,824,BROADWAY,11206,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,33,
41680586,59 CHINA,MANHATTAN,59,NASSAU ST,10038,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,57,
41504787,NO.1 KITCHEN,MANHATTAN,265,1 AVENUE,10003,Chinese,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,75,
41621748,POPEYES LOUISIANA KITCHEN,QUEENS,9215,PARSONS BOULEVARD,11433,Chicken,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,36,
41161009,GENESIS BAR & RESTAURANT,MANHATTAN,1708,2 AVENUE,10128,Irish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,22,
41490112,VICKI'S RESTAURANT  and  BAKERY,QUEENS,10216,43 AVENUE,11368,Spanish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,44,
41012979,HALAL COFFEE SHOP RESTAURANT,BRONX,1150,SHERMAN AVENUE,10456,African,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,33,
50019284,ENCUENTRO RESTAURANT,QUEENS,3729,103RD ST,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,40,
41709740,CAFE KITCHEN (CENTERPLATE CAFE AND KITCHEN),MANHATTAN,655,WEST   34 STREET,10001,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,42,
41459659,T. K. KITCHEN,MANHATTAN,26,SAINT MARKS PLACE,10003,Asian,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,
40576260,HECTOR'S CAFE & DINER,MANHATTAN,44,LITTLE WEST   12 STREET,10014,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,58,
50002478,VILLA TAPIA RESTAURANT,BRONX,245,BROOK AVENUE,10454,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,35,
41635072,ORIGINAL PUGLIA RISTORANTE ITALIANO,MANHATTAN,189,HESTER STREET,10013,Italian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,35,
41697275,SALSA CON FUEGO,BRONX,2297,CEDAR AVENUE,10468,American,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,32,
41464143,VYBES KITCHEN,BRONX,1296,GUNHILL ROAD,10469,Caribbean,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,
40515597,ANYWAY CAFE,MANHATTAN,34,EAST    2 STREET,10003,Russian,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,42,
50040510,CIPURA,BROOKLYN,1901,EMMONS AVE,11235,Turkish,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,60,
